document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
10,There could be random error involved or personal errors.,1.0,1.9668296979003996e-308,1.695315474207962e-308,1.535343575856914e-308,1.8299807909137487e-308,1.89838133144462e-308,2.64746954218966e-308,2.5462207521166023e-308
11,"Sources of error could include the student's willingness to participate in the study. If they didn't want to participate, they wouldn't have put in their full effort for the study because they didn't care enough to try.",0.31973700214455975,0.07342568737947844,0.07878223600188923,0.061858423513431154,0.1292789632417063,0.12603240585184292,0.103541122190887,0.10734415967620502
12,"A potential source of error would be if someone grabbed the wrong bag or entered the wrong number, and they were getting all the answers incorrect because it wasn't the same kit.",0.35896812178701254,0.06919946913708104,0.07243040600940047,0.05902784532507153,0.1273956013188373,0.11296662941148448,0.10137200581329645,0.09863992119781612
13,Only sampling statistics students instead of a random sample of UNL students. Some students may have learning disabilities which the experiment didn't accommodate for.,3.1742486712088476e-308,8.726407867905305e-309,1.184069879625495e-308,9.291472522174636e-309,1.0,1.0110153952032314e-308,1.1319877905251027e-308,1.073623606755172e-308
14,"I think there could be confusion about which bar to read during the presentation, especially with the 3D graph. There might also be errors from subjects using things to help them estimate the ratio since there are no experimenters present.",0.01633412976812718,0.8160862591464568,0.032313154858040115,0.05653976960652546,0.011541677427471477,0.01380758357395132,0.02152364760635889,0.03185377801306884
15,Physical damage to props,0.0584249292725219,0.17508996750722802,0.04598485234203306,0.05109405565094727,0.028908056154411704,0.07101969460384003,0.09568792670415609,0.13139061938548535
16,"Order effects: The order that a student is exposed to different types of graphs could influence their responses.
Response bias: Students may have provided responses they believe are expected rather than genuine reactions.",0.039737410934976916,0.09395889341312962,0.31622699439085644,0.06643844571763927,0.03240303973300574,0.034450218690641084,0.0415340212036347,0.054426737610103366
17,"I feel like human error could always come into play in an experiment. For example, when I was completing this, I think I might have been recording the wrong data. I was just kind of confused on what we were supposed to be doing/ what was being measured and I could not tell how to properly gage how much of a difference there was between the graphs. They also had to make creative adjustments to try and replicate the Cleveland and McGill study.",0.6832499453278624,0.03623387440037345,0.03863761427339871,0.034168035315519124,0.06882329001415777,0.039455528920412215,0.04697128823595094,0.052460423512325355
18,If stats 218 students did not complete the study. (Graphics Experiment),0.06723616867223452,0.021611332187145393,0.03062761478454453,0.02251070172740456,0.1559744117343719,0.025245033497641976,0.0276953448592499,0.026699012787278018
19,"There is no exact measurement. A bar may appear at 50% however, your judgment may be skewed.",1.443291081945673e-308,4.2792537628026205e-308,2.1441397971947994e-308,1.0,1.0403213272401257e-308,1.0556341470667435e-308,1.8571795518919693e-308,2.3952404256148946e-308
20,"The sources of error are not having excat numbers and the right amount of descions being made.

\",1.0,1.797278312452783e-308,1.678812864219817e-308,1.4577466339983724e-308,1.982056491115435e-308,1.7553953057510866e-308,2.2406197804778905e-308,2.329779964495566e-308
21,"there could be an error with the 3d printed graphs, one of mine were broken. There could also be an error involving eyesight or depth preception.  other than that, just laziness could have influenced how much effort soneone spent attempting to figure out the height.",0.049585600076444455,0.12058057945604918,0.059764942726619,0.30634179213228413,0.03345181178020372,0.039923776163117784,0.08833773928544492,0.09864841073785768
22,"Some sources of error that could have been involved with this experiment could include the participants talking with their peers prior to participating, as well as people not fully understanding what was being asked of them in the instructions.",0.34645703676685213,0.0695223149291659,0.07050394083100055,0.06079300919024991,0.1352040951295395,0.1089978924913751,0.10493918048792693,0.10358253017388995
23,Some structures you cant really see the difference in height and it was hard to give an accurate answer.,0.04893195126690536,0.11759389346195616,0.05888516866206856,0.3172064663388663,0.03310984667841177,0.039168742164994524,0.08600197040035394,0.09573661338446415
24,"Some participants could be guessing in the experiment, they could not have enough participants to see if what they were trying to prove is true or not.",0.37996874762783905,0.0589699972445762,0.06705590090963062,0.0556774388204201,0.2017387565262476,0.07774235711682662,0.0784751663418769,0.08037163541258296
25,"Sources of error involved in this experiment could include the subjects not understanding or incorrectly using the online website, a sampling error/bias (only using STAT students instead of taking a true random sample), and maybe the researchers holding some sort of bias when analyzing the data.",0.1439365343051134,0.027634634581652218,0.03530138338466729,0.026330410412179726,0.10275114190713161,0.031767982167732856,0.03460473716724038,0.03585750689105401
26,"Peoples different perceptions, 3D printing test kits accuracy, the layout of shape",1.462294918970112e-308,1.0,1.949776777799238e-308,2.395072114516558e-308,8.868321618204406e-309,1.3891784815103303e-308,2.084039191936528e-308,3.0632791742193837e-308
27,A possible source of error is systematic error because there are many different graphs and 3-D figures in the study so they might be slightly off. This might cause the results to be skewed because the ratios between the bars would be incorrect. Another possible error might be systematic error because some of the students in the study might not care so they might have random answers for the experiment.,0.06216909638635029,0.10089360629624489,0.2831289302771034,0.08079487422468569,0.0504272843567889,0.047640102108201174,0.05801425433713477,0.07702397056750725
28,"There could be errors with the people in the study, like not really guessing but just putting random answers to be done with the questioning, environmental errors, and possible computer issues that could effect the data.",0.19925475419624095,0.05114012828460714,0.069268927436889,0.05246831245456392,0.2637077158733848,0.058951369779302785,0.07093496407783231,0.06531322009950548
29,Student's background knowledge of depth perception,0.06004311748594504,0.15820901019829897,0.05940023377863697,0.0832717527482955,0.035040522495010495,0.06782262585868501,0.17673576728629006,0.3439738812016843
30,"The sources of error involved in this experiment are measurement, estimation, hypothesis testing, and reporting. I do not believe this experiment is biased, as it is random and being tested from an individual’s perspective.",0.6062547458573632,0.03982968679899132,0.04325349030617357,0.04035456326519501,0.10239442151166232,0.04656205138259669,0.06340421095901706,0.056924939080149256
31,"-You have to get a baseline for the student's perception of heights

-A student might just rush through the assignment without working on accuracy",0.05632212007841247,0.12437220954811609,0.0651626261592437,0.21795495547182914,0.037138547625961874,0.04788185717030282,0.12137236606416076,0.12642997023999383
32,"Possible errors could be student technical errors, computers are not always reliable. Another could be colorblind students. Most of the blocks are different colors this could create hardship in choosing the correct estimate.",2.0493845929470926e-308,1.680529861653009e-308,1.1480190001545683e-308,1.044116129606784e-308,1.046205792019353e-308,1.0,2.032328000957623e-308,3.182669466457496e-308
33,Source of error could be its only being tested on stats 218 kids and that its not really random sampling,3.705694936805452e-308,9.11870455358942e-309,1.248233183214875e-308,9.713153379190274e-309,1.0,1.037512948707773e-308,1.182301091097929e-308,1.123673474934326e-308
34,The group being measured is only students in statistics classes.,2.805033040075785e-308,8.59148036685667e-309,1.180874712005733e-308,9.12421426380454e-309,1.0,9.834199636097544e-309,1.092709482303288e-308,1.037053905527208e-308
35,"random selection was not used 

the slider was hard to get exact numbers",0.10718241560714108,0.10880143580566727,0.11640554496986374,0.14942875647517775,0.07632244800278233,0.056744301809633434,0.0996230858752844,0.1068573577677789
36,Human error in perception.,2.07851530567585e-308,2.850208102893887e-308,1.470438061041525e-308,2.064973831920686e-308,1.133062865573059e-308,2.185377441019284e-308,1.0,7.091053251940721e-308
37,"Grabbing the wrong test kit, students lack of attention, misinput of information, and just general misunderstanding of the study. College students aren't the most observant sometimes, making mental mistakes.",0.34027107683837177,0.0703876541819023,0.07199862763196184,0.0576284722614746,0.11118834507629151,0.1478976273502892,0.0981220193972604,0.10250617726244844
38,"Some sources of error is that not every student who looks at the graphs is equally familiar with interpreting graphs as someone might have taken more science and math courses. Also, the graphs themselves weren't super easy to read, as they didn't have clear tick marks.",1.3963361253790227e-308,2.63693753681822e-308,1.0,2.180884735380173e-308,1.1534643964029533e-308,1.1306829608733813e-308,1.382614834600351e-308,1.680699669566959e-308
39,Reporting and identifying measurements,0.3542186180926037,0.07414105561756815,0.08921781645828616,0.08256353497225448,0.14848244845019412,0.06490166211910135,0.09140293222001213,0.09507193206998003
40,"Whether the person is color blind. Whether the participant was doing the experiment online, and didn't have the physical blocks.",2.394173625279405e-308,3.4192999833002284e-308,1.8200919248895284e-308,2.009971343544856e-308,1.33194934855769e-308,3.363785744346081e-308,4.69691184235607e-308,1.0
41,"number of students, the time it took, understanding of experiment",0.6537090089484239,0.03516929167327431,0.03917089480692679,0.031757775678315885,0.08596743069121396,0.05844243466685037,0.04706445414801094,0.04871870938698384
42,"A source of error in the experiment is the different blocks and when they are pulled out at random, you may be more confident in earlier blocks than later blocks so you may not be as accurate.",1.906007719558731e-308,1.6481037759887046e-308,1.1085702983466477e-308,1.026477681210092e-308,1.0126801569445377e-308,1.0,2.0027439939919676e-308,3.1129830177543007e-308
43,"If its the same block in person and on the screen, people can just look at the block in person to double check their answer.",1.6942810809578767e-308,1.558954299263493e-308,1.0301959415766407e-308,9.614187904946404e-309,9.23929293474289e-309,1.0,1.8340092601322046e-308,2.4923492274895493e-308
44,One person doing the survey could have not tried as hard and ruched through their answers.,0.23196958959593308,0.05548362312670345,0.06760640854655513,0.053703324566340346,0.19932190435504368,0.07278214320594581,0.07906542242829963,0.07110697637750511
45,If people rush through the experiment and don't give an actual opinion.,0.4340608219558684,0.05901701569162604,0.062390515810812806,0.05303037158051156,0.13986268051697054,0.09242726291298596,0.07875713585692533,0.08045419567429936
46,User error. Comparing two column sizes on two different blocks strictly by visuals makes for easy error.,1.725986497484046e-308,1.6382386538008703e-308,1.069252848154812e-308,9.97133822483656e-309,9.40237137071611e-309,1.0,1.9340373649339935e-308,2.742083310004657e-308
47,the blocks may not have been the same all around. the measurements may have been different for diff students regardless of whether or not they got the same kit.,1.813327123882117e-308,1.5368744937191625e-308,1.041225713740752e-308,9.658425000833e-309,9.633995494676114e-309,1.0,1.849860210956263e-308,2.5400185071440467e-308
48,"Possible sources of error could be inconsistencies in an individuals answers, people completing it at different times (for example in the morning/afternoon/night, if they may be rushing since because are stressed since they have a test coming up or are busy at the time, etc.), systematic errors, technique errors, misunderstandings, and more.",0.4557356036916078,0.061647153486000146,0.06448981637801074,0.052308709653566016,0.10364963128581062,0.09075850144656787,0.09011325336772764,0.08129733069070928
49,Should've been more 3D models.,1.4531226513832273e-308,1.0,1.8744944263132785e-308,2.253378619011779e-308,8.74944127905338e-309,1.5015975890161965e-308,2.257667608767557e-308,3.3503369585686987e-308
50,"Some participants may not be great at reading graphs in general, and therefore might throw the data way off in general. Another possibility is that potentially the data could have been entered incorrectly and could therefore also throw the results off quite a bit.",0.06213415751051112,0.08420263028172344,0.3223857503775497,0.07202726908633095,0.0484868532561764,0.04517153478603887,0.05559564425743454,0.07008827899825151
51,there could have been inaccuracies in the printing of the 3D models,1.497806228229317e-308,1.0,1.879110323655176e-308,2.2711605599559084e-308,8.87036355677747e-309,1.4895653890764385e-308,2.2386088804852223e-308,3.317323769723267e-308
52,People could have been guessing at the heights or talking to other people around them to find out what they put as the heights.,0.053039748465249364,0.12201022037919529,0.06262430063205433,0.2734825444871536,0.03561591479186224,0.04319336921304633,0.09935886297158113,0.10730969141787851
53,"Image quality, experiment products being damaged etc.",0.059314369738006016,0.02893973861530916,0.02422854087375315,0.0221067651973396,0.023532263731769646,0.032420946227525886,0.03558064933353434,0.05429360887845153
54,The instructions weren't very clear so some people could have responded in ways that weren't correct.,0.48559885400204295,0.05328867049579621,0.051191224206442766,0.04283698074188279,0.0801059035628791,0.07994760416964782,0.07164211307845395,0.0696735152923318
55,I think its just random error because the data had various measurements.,0.48396646632887197,0.0567598853210557,0.06784137057433763,0.05966195861230671,0.12642535760787063,0.05494115488039499,0.07387053762570601,0.0765332690494562
56,"The sources of error are that we cannot always be exact with our measurement because it is not right next to the graph and there are no numbers on the graph, so it is the error of our eyesight, judgement, and thinking ability.",0.06274810091010924,0.07126251680478818,0.24837717402826237,0.07482513631860331,0.05216494760475566,0.03803884613475429,0.053742375706529975,0.060386753657216685
57,The sources of error are that they data is not going to be exact because it was all a rough estimate and peoples opinions.,0.08668628030260105,0.07437505672262991,0.16178155678550565,0.08152535576534976,0.07129051535632938,0.045596650843917744,0.0681629434961087,0.07212749189257758
58,People misreading or misinterpreting something.,0.06502152076670223,0.030218362798323198,0.03407337986946803,0.026912320619679686,0.03218051131521184,0.03671789195887568,0.048884154733246414,0.03933142189725688
59,some people can guess closer to the actual answer than others,0.06857267942280391,0.03341522585964103,0.05106424893446099,0.036289711981445164,0.05623283631117126,0.03305794267693319,0.04676315144943628,0.0414419084325219
60,"Type/size of computer students use, time allowed to participate (having classes afterward/rushing through the experiment). The fact that the only test subjects were STAT218 students is a source of error (convenience sampling).",3.060332862990132e-308,8.71366158167441e-309,1.1959491706711625e-308,9.21260128107806e-309,1.0,1.0052206617977687e-308,1.112070644928606e-308,1.0639697980416783e-308
61,Human error could be a factor or environmental factors. People could misunderstand the question or when they take the test they could have loud people around them.,0.32118422178680406,0.07418417761843317,0.07475206123431496,0.06010607337200345,0.1097938885766975,0.1486173880419793,0.10659826537926657,0.1047639239905008
62,People could misinterpret the graphs on the screen,0.05738086644001505,0.09351025311493609,0.22516567606522375,0.08853655260184642,0.04184396066876017,0.043135397211104355,0.058722753624850514,0.06855811073112714
63,"The experiment is available to do online and in person, which could screw the results because things dont look the sane online versus in person.",0.150855700939606,0.02906223921138771,0.03367483981689363,0.026585249595597993,0.08673572837108523,0.03621956751346464,0.036378491541172106,0.038672513827564196
64,Something could always malfunction with the 3D printing of the graphs. They could be like a few millimeters off from their 2D counterpart. Also not everyone has great eyesight so it potentially could have been more difficult for them to realize the difference.,1.294495234545294e-308,1.0,2.887426868642253e-308,2.6494777588182566e-308,8.95856309434923e-309,1.209205899925494e-308,1.667662839832626e-308,2.436018857669988e-308
65,human error or using the sliders in the experiment. You could get a more accurate assumption if you let people type in their answer.,0.1304801784817057,0.09580143709200778,0.10624946996652186,0.11850608822568974,0.09050381096409851,0.06155078145127774,0.10675048362605383,0.11152309650597377
66,size,0.060918295816118205,0.11894314826609825,0.06483263644302892,0.1953515826287676,0.03681523657549246,0.04700307862110747,0.10987141043712716,0.13443271101735588
67,We can see how things change over time and the data can have errors.,0.08836573359241126,0.07421860291407044,0.16237191843857463,0.08097067367334322,0.06913382071078608,0.04585966724371247,0.06826381849958005,0.07236161609254156
68,"Repetition, anonymity",0.12574108348754856,0.02350161968384073,0.027412256678795092,0.023939301892258597,0.08418992428788334,0.029422345911999583,0.0358670482728125,0.03143152230766613
69,What exact percentages they were looking for or percent error was given.,0.30568743325368203,0.04662420519674135,0.06431661704239315,0.0484497560359487,0.17327539627107524,0.04889415589073676,0.06068713948271587,0.06119306876711694
70,"In this experiment, one of the sources of error I can possibly identify happening is a lack of randomization. The bags for the experiment could be handed out randomly, but one single bag may have the potential to be handed around a single group of students. Additionally, there is another potential source of error in the bags themselves. The bags may have the ability to get mixed around on accident if not carefully handled.",1.0,1.0044313333007626e-308,1.1509904314693785e-308,9.039201198267054e-309,2.3515694802249233e-308,1.706950801063806e-308,1.3639111891630026e-308,1.406355561767277e-308
71,There are many number options and no instructions are given about how specific to be in the estimate.,0.09271123919360344,0.0768049203741067,0.14091137765153358,0.08864157771736114,0.06985413040266779,0.04580411710820109,0.07258391003057264,0.07423457868697332
72,"people reading the graphs wrong on accident, inputting a wrong answer by mistake.",0.045221331313362916,0.066528679775648,0.33989266955341846,0.05933630384593734,0.03680287515620025,0.03537569295226852,0.04356066272630918,0.05013535513471877
73,The sources of error in this experiment was people not taking it seriously and submitting their data any way. Another possible source of error would be in the way that the 3D models were displayed. The v,0.045551493053496324,0.42813912822792677,0.06061504057993702,0.08459874036053139,0.028202902898141653,0.04435003238691541,0.07365401269557144,0.1260019059530278
74,"A student might confuse the symbols (triangle or circle), or the student may not care enough to put effort into giving an accurate estimate.",0.0532220085870391,0.11874644321772884,0.07219369441948759,0.0755680789540334,0.030860834533638682,0.04991137016570639,0.08188727114281112,0.10799968525430641
75,"One possible source of error is only using STAT 218 students. This limits the generalizability of the study. Also, the study isn't really conducted in any controlled environment.",3.3395022380366655e-308,8.990837868411954e-309,1.2395473837775315e-308,9.53198199460648e-309,1.0,1.039010522856627e-308,1.163629683589989e-308,1.1064277026852375e-308
76,"Broken models, slow computers to click on the exact point wanted by the user",0.08366764797186853,0.0520406139154229,0.0303169060331194,0.03212832457836611,0.024316121369152875,0.03550860285381661,0.0513689214702309,0.05276802548818637
77,"The error is just human guessing. One thing I noticed is that you couldn't guess that one portion of the graph was 50% of the other that we were testing. I think there were errors on my end that I missed the guess by over 10%. I think the more that I kept getting asked questions on a specific graph, the more wrong answers I gave.",1.551247870384282e-308,2.408157620443798e-308,1.0,2.1556690466501997e-308,1.283203350427627e-308,1.14996762576895e-308,1.4331622422432957e-308,1.7189185929950383e-308
78,"Previous experience with charts, nonrandom kit selection, potential errors in 3D printed models",1.4667064587008354e-308,1.0,1.9530430708608176e-308,2.419537444824426e-308,8.88888496682272e-309,1.3772779191345433e-308,2.073254566906806e-308,3.059469994372862e-308
79,"There were 3 different platform types for observing these units of comparison. an online 3-D version, online 2-D, and real life 3-D printed pieces. This is inconsistent and can be hard for a viewer's level of perception.",0.03930007302918843,0.1873596857156989,0.06044242994260494,0.07954164460841022,0.025515331172043985,0.03969346959295586,0.07120633758977396,0.11978602289496403
80,i had to do it on my phone and sometimes the graphs were cut out a bit,0.042550851392799544,0.14960113516239565,0.13238925203027538,0.10459656652943011,0.02995013001396915,0.033487241898463214,0.04760618073376528,0.06646753490654088
81,"The people being used in the sample could be just guessing instead of trying, not enough information.",0.09371683668295505,0.024139086317634843,0.03398635469428574,0.02566939244494946,0.18227839583177857,0.027683685294355727,0.03257070038591327,0.03013756598477505
82,How much time and effort people put into the experiment,0.41886763926586207,0.058916640764005664,0.06382055813898316,0.05399948797260531,0.1545021136074109,0.0891041089473017,0.07915443605433074,0.08163501524950036
83,"An example of error could be different people having different qualities of eyesight. Someone who has slightly worse eyesight might be able to do as well as someone with perfect vision. Another might be the quality of the models. Maybe a model was broken, compromising the participant's ability to estimate its height, leading to error. Error could also arise from participants' lack of effort. Some people may not have tried as they were required to be there and that could lead to skew or error in the results.",0.049335420504327404,0.12353530201525542,0.05541640055387929,0.14636144189551786,0.029513888471401902,0.0407499738004686,0.09173368827874734,0.14153435656224644
84,The error could be how people judge the different sizes.,0.05987315082668298,0.12629361700875474,0.06584847926563096,0.2170070825333681,0.03652154849956893,0.0462264671629203,0.10464630916186138,0.1325843551377351
85,If people will be able to estimate the correct or close to the correct size of the different columns.,0.06934727701735617,0.09560173635902125,0.17021737132212403,0.0953597961948343,0.04673308625664051,0.049497297668287046,0.07167055739859284,0.07842644824100735
86,From what I’ve seen a majority of the participants are the class statistics 101. Although there are some older students a majority are freshmen and all are college students. Plus there might be people who did not try and guessed to get it over with.,0.0774505836389818,0.023357310026212757,0.030957444119772456,0.025193993231196213,0.640410940196049,0.02746552418338533,0.03106196854532411,0.02853998251486749
87,How much lower the over one was,1.4388145945813696e-308,3.2169254289299663e-308,1.9369059887054287e-308,1.0,1.041281766861566e-308,1.032488605220214e-308,1.9315208801198173e-308,2.245501086090218e-308
88,"The sources of error involved in the experiment were the misinterpretation of the data. For example, multiple people could interpret the difference in the size of the bars.",0.11339054674181398,0.032850735017157885,0.03716007269414008,0.03442095819460816,0.05076097820614886,0.031236603168605926,0.04529458724656355,0.04902867410104134
89,"I guess it could be something like we all didn't have the same blocks we were given, some students were older than others and could do better, some students had previous practice, instructions were off/ poorly worded, or something like not randomized.",2.1276185966299635e-308,1.4087525569142433e-308,1.0471898472907016e-308,9.406562719708078e-309,1.054640758437389e-308,1.0,1.7707670142597316e-308,2.3304204465753963e-308
90,People not actively interpreting the data and just trying to complete the experiment to get it done with.,0.5072193576681491,0.05092055945734033,0.05446587958035566,0.045818979157923045,0.12251277874648583,0.08142736604032942,0.06825511846264926,0.06937996088676732
91,People not having access to the 3D graphs,1.2559128625005574e-308,1.0,2.6600343832158054e-308,2.5132672704589666e-308,8.75952083195802e-309,1.1734744832093946e-308,1.600945636228988e-308,2.330725034561875e-308
92,"The students taking it, because I feel like a lot of them don't care a lot about the outcome.",1.0,8.940397650310646e-309,1.0093810366088607e-308,8.209757408146664e-309,2.421980344517235e-308,1.4179563649330586e-308,1.2026265674874033e-308,1.1961216908510974e-308
93,"perceptual biases(human error), sampling bias, fatigue, instruction clarity, cognitive load.",0.06958649309153722,0.03079596492689648,0.025877486511227874,0.02281792225783699,0.030193979036089866,0.10350466560888927,0.047197526402276965,0.051955073302471746
94,since each student did the experiment on their own computer the scaling could be different and cause different data,0.04951532209685382,0.1508659601391856,0.1267955270008545,0.07528615166012262,0.03620854778521215,0.042589611132465066,0.052087741326857374,0.08120587809212386
95,"There are a few ways errors could creep into this experiment. People might misjudge bar heights due to tricky 3D visuals or poor lighting on the printed charts. Even though the colors were random, some participants might still connect certain colors with specific meanings. Everyone sees and processes visuals a bit differently too, so personal differences could skew the results. Plus, as the experiment goes on, participants might get better at the task—or just tired—which could affect how accurately they judge the charts.",0.044527954949211544,0.51273219845443,0.07971041700642043,0.12972925049875944,0.030277834677574476,0.03639700072657998,0.056503335292624184,0.09281990681935617
96,No random sampling was used because we are all from statistics classes. You can only generalize results to statistics classes.,3.0603451544073955e-308,8.51773309333232e-309,1.1251359655844175e-308,9.285137586204313e-309,1.0,9.69929783862409e-309,1.1281429761322424e-308,1.0395160435110334e-308
97,One source of error in the experiment was the difference in how the data was interpreted on the 3D graphs compared to the 2D graphs.,1.2380806585773745e-308,1.0,2.2931829543910523e-308,2.8539673137222936e-308,8.50135736154392e-309,1.176718026024631e-308,1.7714210906090615e-308,2.5394937497412556e-308
98,I am not sure which ones there are,0.06237575051432789,0.02475850441930476,0.028692047598909212,0.02794034138115413,0.040183783809869,0.024615032948349085,0.03532036389599932,0.028634530397382382
99,"I feel, like always, the source of error can be confusion of the experiment. I was confused by the experiment and felt like the experiment was not explained well. There also can be human error and they could accidentally click on another answer when they meant another one because I did that multiple times through out the experiment.",0.39753324122301453,0.06556229440669746,0.06961033194454817,0.057206604731792766,0.13085375096769478,0.09549234927457194,0.09521305432557209,0.08852837312610819
100,"There be a technological error in the mouse pad, broken scree, or even the brightness not being able to be turned up to see the model clear enough.",0.0858003384242371,0.05116567270428009,0.03009820393489135,0.0316195533228619,0.024266821775934463,0.03553027520093551,0.05099671587105524,0.05263758244596802
101,The sources of error was the null hypothesis being different than originally thought in the experiment.,1.0,1.261840490094127e-308,1.443651547481956e-308,1.264490032461952e-308,3.39919394103285e-308,1.3528845817056577e-308,1.7282157082666054e-308,1.708000831474803e-308
102,"Because students are participating, some of them may not put full effort into each graph and may be putting in answers without truly thinking about them.",1.291210960139489e-308,2.711394390278966e-308,1.0,2.1081204320144905e-308,1.0704541268858597e-308,1.1116786959122976e-308,1.332905876147691e-308,1.632209877223965e-308
103,"The sources of error that are included are the different pieces of graphs, and the numbers since they could get messed up.",0.06061711379458085,0.07021074241267625,0.25866377300554455,0.07346002433464767,0.04983522986680932,0.0372383848342904,0.05253413515313551,0.058986447763335156
104,Participants may have not cared about the experiment and rushed through the questions without taking the time to really determine an appropriate answer.,0.1470424110240216,0.021780810031462747,0.024595039311634165,0.019761382357897147,0.06040888449633525,0.03287016098737834,0.02951651281995626,0.029361898421394667
105,"Not sure if this is what you meant, but I had to stop myself from just guessing the same thing when I saw the same shape in a new medium.",0.04129358444536901,0.1724351801746172,0.06253418055634603,0.0729515377968387,0.025446789615697504,0.04210067313088567,0.06889173004054452,0.10473571051445295
106,"Fatigue of answering prompts, the 3d models falling apart, and confusion on what was being tested.",0.27423792721721435,0.07656260699664266,0.07144265834362223,0.05931390999442805,0.09857018281666755,0.19820587558192174,0.10643727691814,0.11522956213136339
107,"school work, and some cases of insomnia",0.3521004743088411,0.06825259933522802,0.06901747843693477,0.05609105560171444,0.10396648194939191,0.15556812126127625,0.09626623195232699,0.09873755715428637
108,"Though all the props were marked, one of the props that we used had writing on the bottom that was kind of hard to make out what it said. I could see some people confusing some of the props leading to incorrect results.",0.057533000198331574,0.1790749120241869,0.04549281150338216,0.05075341203630456,0.028432015835742366,0.06868918267664703,0.09438845417609096,0.13323631316993786
109,There were some visual errors that confused the participants.,0.10160851772536635,0.032725382033010585,0.025826720179447833,0.024162710588498223,0.02677497121039115,0.04195329876602696,0.05791294931927982,0.05115061385814272
110,Some sources of error in this experiment would be guessing on the heights and not actually trying to find the difference. Another source of error could be human error while printing the physical 3D graphs. The sample size of the experiment could be a source of error also if it was a small sample size.,1.2612180398267815e-308,1.0,2.1364040136530267e-308,3.1240605536237975e-308,8.50775619880887e-309,1.1834282425463037e-308,1.8786690928758043e-308,2.7230996018993394e-308
111,A source of error in the experiment could have been the students doing it on their on and when the students had to pick one that wrote down the wrong graph and gave false information.,0.05772011460818419,0.10990175918729747,0.28556460581801524,0.08142828929508925,0.04755148695423232,0.04728605155787355,0.056241048990445075,0.07439876214287935
112,A source of error could be the person doesn't really understand the experiment and isn't doing the experiment right. Another error could be graphs put into different bags so students got the wrong id of graphs causing a disruption in data.,0.06099034555232647,0.09891935900208113,0.29479183879222753,0.07669386967926278,0.04975291556385041,0.047668229402907054,0.0565360034186623,0.07473955714269871
113,"How many people participate in this study, If you have a visual impairment",2.2035143824753934e-308,3.330870621251098e-308,1.7133276623884306e-308,2.1369565121135557e-308,1.2618161124799535e-308,2.868260208143369e-308,7.688181910682005e-308,1.0
