document_index,document,topic,probability
125,Randomization was present as they had different combinations of bar graphs to analyze. They used manipulation to change the variable of which perspective of the bar graph was used 2d vs 3d. They also used replication as they wanted to test if the results of the Cleveland and McGill study of 1984 would translate when using different mediums.,topic_0,0.09716800054631532
126,Randomizing groups by giving different people different 3D printed graphs. This was done to see if results differ between the different 3D graphs and it is not just up to chance.,topic_0,0.15762955860567712
127,It was a randomized order and repeated measures design was also present. Conditions were controlled to have a baseline comparison.,topic_0,0.16281255305440026
128,"I think that the control groups were present, because the experiment was planned out. They had to plan this experiment out otherwise the results would not have been as accurate.",topic_0,1.0
129,"Random assignment was used, but not random sampling because we are all from statistics courses. A control group was also probably utilized, without us being aware.",topic_0,1.1404235201404306e-307
130,"The control group used was the digital 3D graphs, and random assignment was used by having students pick the bags of graphs randomly.",topic_0,0.2584929967266483
131,An element that played a part of this experiment was the randomization of the Stats 218 class and what package they got.,topic_0,0.12554667311048373
132,"The experiment included several good design elements. Each participant got a random mix of chart types and bar layouts, which helps avoid bias from always seeing things in the same order. The charts were also randomly assigned different ratio values, so no one could guess patterns. Everyone answered the same types of questions, making it easier to compare results. While there wasn’t a traditional control group, the 2D chart acted like a baseline to compare the 3D formats against.",topic_0,7.630269450032159e-308
133,"I think the randomization was used, because there were many random participants. There were many different students that participated in this study.",topic_0,1.4104253291116685e-307
134,Randomization by randomizing which bar charts to utilize for each participant was used,topic_0,0.24124337422416925
135,I would say it was random because they used both 2D and 3D graphs for both groups,topic_0,0.12934616578521826
136,"I guess overall they were pretty random because not everyone had the same blocks, and didn't know where the blocks were going. A bunch of different classes experimented, so there wasn't just one class studied. Lastly, possibly something like the kids are from different age groups.",topic_0,9.79694697460297e-308
137,The observational study was used because it was the design for the experiment.,topic_0,1.6644852756837358e-307
138,I think there were randomization because the different charts weren’t assigned to specific students and the students randomly chose which data set they interpreted.,topic_0,0.21026147761384287
139,"Random sampling, I don’t believe there was a control group but it also has random assignment to the bags",topic_0,0.10152081135651957
140,"There was some factors that indicate there was a control. Like at the beginning of the experiment we had to depict which model was 25%, 50%, and 75% to the other graph. However I think the element of randomization was present in the experiment. There was no selected models per person and each graph was random.",topic_0,0.46857340411129456
141,"What kit students received was random, and participation wasn't mandatory, so what students in taking STATS 218 participated also wasn't known for sure.",topic_0,0.5161350044740326
142,"I think there is a decent amount of randomization given the variety of STAT218 students and differing experimental bags/kits administered. I really can't think of how there would be a control group in this experiment, however, so I am going to say that it is missing that element to some regard.",topic_0,1.4915028038412997e-307
143,The color that you pick because they were random and said to pick one.,topic_0,7.991196780867517e-308
144,"The experiment included several strong elements of experimental design:

 

* Randomization – Each participant received a random set of graphs with different ratios and chart types, which helps prevent bias and ensures more balanced results across all chart conditions.

* Control elements – The 2D bar charts acted like a control group because they’re the standard, well-studied format. Comparing the 3D and printed charts against them helps show whether the new formats perform better or worse.

* Consistent procedures – All participants followed the same process, used the same computer setup, and got the same instructions, which helps reduce variability.

* Replication – The experiment was based on a well-known study (Cleveland and McGill), adding reliability and allowing for meaningful comparisons to past results.

These elements help make the study more fair, accurate, and easier to trust.",topic_0,7.492681054964399e-308
145,"The order of graphs were randomized to account for the order affect. A control group could be students not currently taking STAT 218, have never taken STAT 218 before, or students only able to view graphs in 2D. This is important to see if class or 2D vs 3D has any effects on graphical estimation.",topic_0,7.487026942489022e-308
146,The bar graph and the size of it,topic_0,0.16637762637735978
147,I think the kits given to us were randomized and that they contained different 3D models. I believe this was done to ensure that people didn't share their answers. This helped to avoid biased results.,topic_0,7.739903946712717e-308
148,Randomization was used because the order of the blocks chosen was randomly selected by the person.,topic_0,8.22322267191292e-308
149,I think the element in this design is randomization because it was random of just looking at whether if the circle or square bar was taller. There wasn't a control group in the experiment.,topic_0,0.22388547141916468
150,The experimental design was control group because it gave you two choices of either triangle or circle you had to see which was bigger then estimate by how much was the data bigger or smaller.,topic_0,1.0
151,"Randomization of the height of the graphs. So, they were not as easily identifiable.",topic_0,0.12292229959650025
152,The element of experimental design would be randomization. When we had to pick a random graph with the pieces we were given we had to randomly select the ones present in front of us and give the graph info on the computer and length and shape which was larger.,topic_0,0.17753882382587188
153,The randomly handed out packages was randomization. This helps because no one group has an unfair advantage or bias.,topic_0,0.07531356637985512
154,I think that the use of control group was present in this experiment because this seems to only use students that are taking the statistics class.,topic_0,0.743571447070771
155,"Randomization could have been used in the assignment of bar heights for different trials to minimize any bias, this helps ensure that any observed results are due to estimation abilities rather than predictable patterns. Another element could have been repetition. The repeated trials allow for analysis of learning effects, consistency, and changes in performance over time.",topic_0,0.20194882771955813
156,I think we used the element of randomization by hanging out back with random numbers to different people but I felt that there was no control variable in the experiment because there was  not a bag that had no pieces,topic_0,0.09481263154573438
157,"Randomization is when no one is given a specific set of instructions on which bag to take and is instead given a random bag of charts and pictures. This helps keep the data collected relevant and more randomized, meaning the authenticity of the results is more acceptable than if they were to control the experiment in any way.",topic_0,0.08132596711481244
158,I think randomization was present because each bag was different.,topic_0,6.765484480514365e-308
159,I think randomization was in there but I think the graphs were pulled from a bank of graphs pulled out in different/ random orders,topic_0,6.406615804788692e-308
160,I do not think the use of a control group was used in this experiment because everyone had to do the test. The order of questions might have been random but the people surveyed was not because you had to do it as a 218 student. There were variables and a large number of people sampled.,topic_0,1.0
161,One of the biggest randomization factors was the physical 3D printed models we were given. They were not strategically handed out they were randomly taken or passed out. This removed bias and the ability for people to choose the exact few models that they wanted.,topic_0,0.0781288957620622
162,A control group in this experiment was there being no numbers for reference on the graphs. Another control group would be giving random graphs in which the two statistics being observed were not right next to each other.,topic_0,1.0
163,I think replication because I think some graphs were repeated to see if you realized it was the same one. Not to sure to be honest.,topic_0,6.562890694023434e-308
164,"Giving students' in a class random bags, because this makes it completely random for a set group.",topic_0,0.06312164727978634
165,I think there was lots of randomization because we had to pick the random shapes and there was not a control group I felt like.,topic_0,0.08815903055098592
166,"I think they didn't fully use randomization in this experiment because the STATs classes were the ones being tested. 

The independent variable was the type of graph it was- physical, 2d, 3d

The dependent variable was how the test subjects would interpret the graphs.",topic_0,0.1736005563603903
167,I think randomization was used in this experiment. I was able to randomly choose the order of my graphs so they were not in the same order for everybody.,topic_0,7.540326518374054e-308
168,Each person randomly picked a bag and each bag was different. Probably in each bag though there was one that was the same in each bag.,topic_0,6.606842988444769e-308
169,They tried to make it random but there will always be some kind of bias that prevents this.,topic_0,8.543280709959684e-308
170,"The experimenter most likely had tested a control group, so they had something to compare our results to.",topic_0,1.0
171,"I don't think that there were control groups present because this study would be hard to have a control group. They would have to still participate in some way, but they wouldn't be estimating the heights of the blocks/bars so I don't think it would be effective or applicable to use a control group. I do believe there was randomization within the experiment because we were put into different groups randomly by giving us a different package filled with differently sized bars/blocks and maybe an online presentation as well.",topic_0,1.0
172,"I think that they randomized whether they designed the experiment so that they could test for the results that they wanted by framing the questions and data to see the responses that they are looking for. They also separated all of us so we had to take it on our own, which eliminated a chance for social implications to create a confounding variable, for example if a popular kid got a crazy answer and everyone wanted to be their friend so they also put that answer.",topic_0,0.15636171535978421
173,Not random if only students in Stats did the survey.,topic_0,1.2785341894794528e-307
174,We had to randomly choose a bag to use for the 3D printed models. This might be to ensure that the directions could be followed in relation to using the correct 3D block when asked. This could also prevent two friends who were taking it simultaneously to not share what they thought.,topic_0,6.845200591270252e-308
175,"i think this design was mainly randomization because students were instructed to just take a kit out of the box, meaning that a lot of people likely chose the same kit as it was on top. therefore, there may be a lot of data for one of the kits and not really any data for the other kits.",topic_0,7.958128141092026e-308
176,"This experiment included randomization since each participant received a random chart combination with different ratios and spacing. This helped minimize bias. Since there wasn't necessarily a control group, 2D was a good comparison for the two since it was most studied and trusted. Using questions to determine the differences between all of them helped with design and to differentiate them based on these variables.",topic_0,7.545695849853877e-308
177,"They had a random group of participants, along with also having both 2D and 3D graphs.",topic_0,0.1407512350252549
178,"The experiment used randomization to assign charts and their order to participants. The control group was the 2D charts, used as a baseline. Counterbalancing made sure participants saw the charts in different orders to avoid bias.",topic_0,7.845456327291685e-308
179,"The experiments definitely used randomization the graphs and the order that they were placed, and they were also randomly assigned to each individual. This really cuts down on how biased the participants can be. They also used a lot of repeated measures meaning each individual looked at the three different types of g, that way everyone would act in their own controlled way. I don't think there was a traditional group but using 2-D graphs which we already know they are more accurate. They kind of served as a baseline compared to the graphs that were 3-D and 3-D printed the designs of the graph really helped make the result more reliable, and reduce outside influences.",topic_0,0.18850462053230407
