question,topic_id,term_rank,term,c_tf_idf_weight
q2,1,4,looking,0.3622661679673996
q2,1,5,people estimate,0.3548318881213484
q2,1,6,graphs easier,0.3548318881213484
q2,1,7,bar graphs,0.3534978190200469
q2,1,8,online,0.33802036306579714
q2,1,9,read graphs,0.3323135643879273
q2,1,10,bars,0.33132049358264654
q2,2,1,object,0.5928567839341919
q2,2,2,shapes,0.5462185952833244
q2,2,3,objects,0.5028114350377233
q2,2,4,things,0.4840655370620754
q2,2,5,3d models,0.4644750687538334
q2,2,6,larger,0.452730015160342
q2,2,7,percentage,0.452730015160342
q2,2,8,heights,0.438018135285437
q2,2,9,given,0.42732437162466524
q2,2,10,depth perception,0.422032388852326
q2,3,1,bar graphs,0.4749355752218883
q2,3,2,bar graph,0.47008071934711065
q2,3,3,bars,0.4622009365727654
q2,3,4,values,0.39831616751459503
q2,3,5,heights,0.37755982906171665
q2,3,6,graphs think,0.3773818746735858
q2,3,7,bar,0.3714217607718186
q2,3,8,3d bar,0.36927187409912604
q2,3,9,experiment students,0.3568636607797115
q2,3,10,believe purpose,0.3568636607797115
q2,4,1,images,0.6113831890094571
q2,4,2,graphs 3d,0.49919228346291145
q2,4,3,experiment different,0.48376806305768216
q2,4,4,2d graphs,0.4698889845325677
q2,4,5,data visualization,0.46453066153139283
q2,4,6,replicate,0.4572734687271491
q2,4,7,different ways,0.418955432147545
q2,4,8,visualization,0.418955432147545
q2,4,9,overall,0.4153460782128349
q2,4,10,affect perception,0.4153460782128349
q2,5,1,3d printed,0.5587415777323747
q2,5,2,printed,0.5322136933762779
q2,5,3,charts,0.5055397146613817
q2,5,4,digital 3d,0.47633124006698446
q2,5,5,2d digital,0.47334786542611884
q2,5,6,3d digital,0.45872219502506645
q2,5,7,3d charts,0.43210550573467504
q2,5,8,bar heights,0.43210550573467504
q2,5,9,aimed,0.42263498502927066
q2,5,10,perceptual,0.418754156405855
q2,6,1,experiment likely,0.6404784031671452
q2,6,2,people perception,0.6349606008731913
q2,6,3,context,0.6349606008731913
q2,6,4,judge relative,0.6349606008731913
q2,6,5,3d models,0.6054012313461566
q2,6,6,perception size,0.6048787918128472
q2,6,7,objects,0.5982675056463157
q2,6,8,proportion,0.5583846023604537
q2,6,9,relative,0.5396218539727844
q2,6,10,believe purpose,0.5396218539727844
q3,-1,1,color,0.4321830353622867
q3,-1,2,bar graphs,0.37706366870806196
q3,-1,3,colors,0.374580016152681
q3,-1,4,bigger,0.374580016152681
q3,-1,5,reading,0.363734110059768
q3,-1,6,50,0.35586651450742296
q3,-1,7,values,0.35031450652234924
q3,-1,8,stats,0.34793724347798344
q3,-1,9,estimating,0.34495984042358646
q3,-1,10,question,0.3419432073957881
q3,0,1,experiment,0.45996392278901166
q3,0,2,based,0.4122501254455337
q3,0,3,shapes,0.4047556814652394
q3,0,4,estimations,0.3716466897515275
q3,0,5,relative,0.3698356833094747
q3,0,6,presented,0.3698356833094747
q3,0,7,testing hypothesis,0.36301992636471814
q3,0,8,things,0.36088571766821154
q3,0,9,answer,0.35307973305278817
q3,0,10,like,0.3512027403359977
q3,1,1,charts,0.42558316359811227
q3,1,2,digital,0.4184870108680379
q3,1,3,printed,0.3917549210176084
q3,1,4,3d printed,0.38819584425695486
q3,1,5,physical,0.3803526954793868
q3,1,6,chart,0.3695695861185493
q3,1,7,3d graphs,0.36162912932440855
q3,1,8,2d graphs,0.3508317876481613
q3,1,9,screen,0.34985280354143045
q3,1,10,perceptual,0.32731673729505933
q3,2,1,bars,0.8105472064613447
q3,2,2,bar graph,0.7155966152753517
q3,2,3,tall,0.6434530822884088
q3,2,4,estimation,0.6231489393652171
q3,2,5,closer,0.6231489393652171
q3,2,6,heights bar,0.5930377484254914
q3,2,7,angles,0.5930377484254914
q3,2,8,size difference,0.566458265500055
q3,2,9,know,0.566458265500055
q3,2,10,apart,0.566458265500055
q3,3,1,statistics,0.8098893723903445
q3,3,2,taking,0.7695667191353935
q3,3,3,class,0.7502807407276976
q3,3,4,stats,0.6905328477163949
q3,3,5,numerical,0.6848393532613807
q3,3,6,currently,0.67118116495184
q3,3,7,statistic,0.67118116495184
q3,3,8,218,0.6612719034864182
q3,3,9,think hypothesis,0.6410993558914959
q3,3,10,unl students,0.6410993558914959
q3,4,1,null hypothesis,0.7978743600984837
q3,4,2,alternative,0.7391007872865752
q3,4,3,alternative hypothesis,0.737298137710883
q3,4,4,graphs 3d,0.6804295405390839
q3,4,5,difference accuracy,0.6646114323264461
q3,4,6,2d models,0.5770424690897825
q3,4,7,experience,0.558833911095963
q3,4,8,significant,0.5426529621400221
q3,4,9,printed graphs,0.5280929613574714
q3,4,10,compared 3d,0.4915320918072554
q3,5,1,blocks,1.2613917916564648
q3,5,2,taller,0.8936538143442383
q3,5,3,believe,0.7794042975885175
q3,5,4,think experimenter,0.7444720133034665
q3,5,5,estimate proportions,0.5820567317924938
q3,5,6,actually,0.5820567317924938
q3,5,7,skills,0.5820567317924938
q3,5,8,degree,0.5820567317924938
q3,5,9,shapes,0.5641115584808215
q3,5,10,able estimate,0.5511220641107786
q4,-1,1,numbers,0.3729348681654751
q4,-1,2,shapes,0.35113765882425174
q4,-1,3,online,0.32975439168422555
q4,-1,4,slider,0.3269566499355438
q4,-1,5,compared,0.30678069966798205
q4,-1,6,pieces,0.30678069966798205
q4,-1,7,instead,0.2984692208266956
q4,-1,8,sure,0.29195151709058087
q4,-1,9,shape,0.29195151709058087
q4,-1,10,questions,0.2915263526085466
q4,0,1,lack,0.35639187187494165
q4,0,2,error involved,0.34136804019795874
q4,0,3,lot,0.3388528906362303
q4,0,4,include,0.32344872619551956
q4,0,5,wrong,0.32209484142534633
q4,0,6,answers,0.31932056230380906
q4,0,7,times,0.3187775163539255
q4,0,8,environmental,0.31696785531968846
q4,0,9,survey,0.31696785531968846
q4,0,10,error include,0.31643068187146284
q4,1,1,3d,0.48623641453638355
q4,1,2,charts,0.4303711421328854
q4,1,3,3d printed,0.40660526391845914
q4,1,4,models,0.40657815043369416
q4,1,5,printed,0.3971026152060415
q4,1,6,angle,0.3467541341655101
q4,1,7,bar heights,0.32937812222773305
q4,1,8,depth,0.32157693165622586
q4,1,9,bit,0.3188894270178448
q4,1,10,objects,0.3188894270178448
q4,2,1,graph,0.5310375803195635
q4,2,2,graphs,0.48095361190264246
q4,2,3,answers,0.42180517407889884
q4,2,4,understand,0.42098504870376546
q4,2,5,experience,0.3727960382244073
q4,2,6,looking,0.3727960382244073
q4,2,7,participating,0.3570663215999587
q4,2,8,values,0.3359118907309585
q4,2,9,reading,0.3334389132849539
q4,2,10,isn,0.3201097987381229
q4,3,1,bar,0.5480417018343867
q4,3,2,bigger,0.4975737368059337
q4,3,3,know,0.4742259509065293
q4,3,4,smaller,0.4549789018113096
q4,3,5,heights,0.4536437994158154
q4,3,6,bars,0.4535000863074803
q4,3,7,incorrectly,0.3966449755895522
q4,3,8,measurement,0.39271460631658467
q4,3,9,actually,0.38720386750238084
q4,3,10,visual perception,0.3854189592319147
q4,4,1,statistics,0.8264885923177779
q4,4,2,sampling,0.7837050932438807
q4,4,3,218,0.7171996073242772
q4,4,4,random sampling,0.6801058501202227
q4,4,5,class,0.6639978120097972
q4,4,6,stat 218,0.6304521165865182
q4,4,7,stat,0.6083051651056407
q4,4,8,stats,0.6083051651056407
q4,4,9,population,0.6074192996954579
q4,4,10,stats 218,0.5683778270928429
q4,5,1,blocks,1.1004471744307487
q4,5,2,id,0.5710007095749176
q4,5,3,internet,0.5452015078391527
q4,5,4,sets,0.5452015078391527
q4,5,5,previous,0.5452015078391527
q4,5,6,correct,0.5384618389454278
q4,5,7,impact,0.5237242212772915
q4,5,8,little,0.4749351876595724
q4,5,9,better,0.4749351876595724
q4,5,10,possibly,0.45037219611482454
q4,6,1,human perception,1.1663538685023598
q4,6,2,eyesight,1.0105926465997528
q4,6,3,comparisons,0.8714046474295768
q4,6,4,problems,0.8714046474295768
q4,6,5,subjective,0.8714046474295768
q4,6,6,impairments,0.8714046474295768
q4,6,7,visual impairments,0.8714046474295768
q4,6,8,ability,0.8590781037479356
q4,6,9,bad,0.8247367296811814
q4,6,10,perceptions,0.8247367296811814
q4,7,1,color,0.7919673199730088
q4,7,2,likely,0.6040995481025506
q4,7,3,screen,0.5532753988752617
q4,7,4,potentially,0.5523855634840436
q4,7,5,brightness,0.5112031065782187
q4,7,6,quality,0.4925269101817211
q4,7,7,differently,0.4829178654303824
q4,7,8,participate,0.4775383474385514
q4,7,9,depth perception,0.4635805133525336
q4,7,10,judge,0.45102092393855703
q5,-1,1,dependent,0.3132033163392385
q5,-1,2,groups,0.31146361478483664
q5,-1,3,vs 3d,0.31146361478483664
q5,-1,4,models,0.310211231463564
q5,-1,5,height quantitative,0.30522926881822776
q5,-1,6,people,0.30505012739772525
q5,-1,7,independent,0.3010660985120058
q5,-1,8,numerical value,0.2999879726229865
q5,-1,9,3d categorical,0.2970729067984296
q5,-1,10,letter,0.2899508030029437
q5,0,1,variable type,0.4234661409472125
q5,0,2,variable examined,0.3559768543396303
q5,0,3,type graph,0.3559768543396303
q5,0,4,variable categorical,0.3444282105007359
q5,0,5,categorical variable,0.34048206457441693
q5,0,6,bar graph,0.32959218890642716
q5,0,7,graphs categorical,0.3261391319755569
q5,0,8,graphs,0.3194943509443521
q5,0,9,computer,0.318730215137374
q5,0,10,quantitative variable,0.3158929507992298
q5,1,1,shape,0.5390774985268216
q5,1,2,person,0.454813368780067
q5,1,3,categorical size,0.44008607405907185
q5,1,4,picked,0.42701227371379175
q5,1,5,taller shorter,0.40940322704811816
q5,1,6,explanatory,0.4032936180085974
q5,1,7,taller,0.3940735913506918
q5,1,8,independent variable,0.3811257199869161
q5,1,9,response variable,0.369401508615346
q5,1,10,categorical dependent,0.369401508615346
q5,2,1,quantitative bar,0.58421102878681
q5,2,2,categorical smaller,0.5453462074391816
q5,2,3,smaller bar,0.515073303880551
q5,2,4,bar smaller,0.5150072827922408
q5,2,5,bars quantitative,0.5004616249646958
q5,2,6,size bar,0.48909261647557295
q5,2,7,bar compared,0.48433996869818063
q5,2,8,quantitative height,0.4727282752369812
q5,2,9,quantitative size,0.4727282752369812
q5,2,10,compared larger,0.45868476090576576
q5,3,1,qualitative,0.45559590221281415
q5,3,2,like,0.43605340612833826
q5,3,3,models,0.42893198136139193
q5,3,4,questions,0.397906309749708
q5,3,5,charts,0.3973594168698447
q5,3,6,able,0.387273424100025
q5,3,7,class,0.3667597749901421
q5,3,8,specific,0.35589822291057377
q5,3,9,variables categorical,0.35163540880571226
q5,3,10,got,0.3463878808667045
q5,4,1,quantitative graph,0.5670525469487504
q5,4,2,graph categorical,0.5507193438437432
q5,4,3,reading,0.5229685402827816
q5,4,4,graph quantitative,0.49172818485709663
q5,4,5,graphs quantitative,0.4882609964999564
q5,4,6,read,0.45336810597525334
q5,4,7,larger categorical,0.428651434152049
q5,4,8,bar graphs,0.42703018633418605
q5,4,9,quantitative students,0.4050896894211232
q5,4,10,bar graph,0.39563414701020266
q5,5,1,columns,0.5456574770884483
q5,5,2,say,0.5439738973866165
q5,5,3,examined bar,0.457707795449585
q5,5,4,numbers,0.4397686822619892
q5,5,5,determining,0.422664464299423
q5,5,6,experiment,0.4086412669235791
q5,5,7,remember,0.40852271427043274
q5,5,8,long,0.40852271427043274
q5,5,9,letter,0.40852271427043274
q5,5,10,think,0.39595571498117327
q5,6,1,circle triangle,0.6742102471271478
q5,6,2,triangle circle,0.6736789822702177
q5,6,3,units,0.5771724110764435
q5,6,4,taller,0.4938798135800151
q5,6,5,circle bar,0.4867617682015818
q5,6,6,triangle categorical,0.4867617682015818
q5,6,7,100 units,0.4867617682015818
q5,6,8,categorical circle,0.46882739768511034
q5,6,9,quantitative categorical,0.426658409672551
q5,6,10,100,0.4187386055349835
q5,7,1,online,0.6152820381333503
q5,7,2,correctly categorical,0.5826909047158886
q5,7,3,number quantitative,0.538078532946932
q5,7,4,guessed,0.5040766097575006
q5,7,5,values quantitative,0.4993327094060969
q5,7,6,correct answers,0.4993327094060969
q5,7,7,percent,0.48968070611835857
q5,7,8,proportion,0.47659541738220446
q5,7,9,value quantitative,0.47576513143820637
q5,7,10,scores,0.47576513143820637
q5,8,1,ratio,0.4860259952085128
q5,8,2,error,0.4512456397254076
q5,8,3,chart,0.4219285599463072
q5,8,4,3d digital,0.40335798402703127
q5,8,5,digital 3d,0.40335798402703127
q5,8,6,type categorical,0.400539523326174
q5,8,7,chart type,0.3937472348040109
q5,8,8,separated,0.3870468821537018
q5,8,9,used,0.38496935335049776
q5,8,10,adjacent,0.3693136496462042
q5,9,1,color categorical,0.9738857342776293
q5,9,2,gender categorical,0.8810583239459745
q5,9,3,age quantitative,0.7519369699627252
q5,9,4,gender,0.7273427920159082
q5,9,5,quantitative gender,0.7051875609346564
q5,9,6,size quantitative,0.6843035056448923
q5,9,7,quantitative color,0.6761071774586677
q5,9,8,shape categorical,0.6761071774586677
q5,9,9,quantitative age,0.6511965180324165
q5,9,10,categorical categorical,0.6511965180324165
q6,-1,1,design,0.30140307017140555
q6,-1,2,measures,0.2940922200306129
q6,-1,3,repeated measures,0.2940922200306129
q6,-1,4,computer,0.2787418641759336
q6,-1,5,present,0.27694050200557285
q6,-1,6,randomized,0.2722371062728751
q6,-1,7,given,0.2718367065372037
q6,-1,8,repeated,0.2661758895606772
q6,-1,9,bias,0.26405938622337827
q6,-1,10,strips,0.26291888051319096
q6,0,1,control group,0.3065810932301997
q6,0,2,control,0.29431074169341376
q6,0,3,group,0.2854325474446645
q6,0,4,students,0.27769992019663486
q6,0,5,218,0.2608182534356316
q6,0,6,stats,0.2581196815718191
q6,0,7,think control,0.25275948621804156
q6,0,8,class,0.24362642521444644
q6,0,9,think,0.24297291961193349
q6,0,10,use control,0.2417055076023585
q6,1,1,graphs,0.4005063320526243
q6,1,2,graph,0.3524931392076685
q6,1,3,bar,0.3463662601211485
q6,1,4,bars,0.2950096635750763
q6,1,5,bar graphs,0.2794900678112862
q6,1,6,order,0.2698906496031763
q6,1,7,2d,0.2684401403729771
q6,1,8,different,0.26412536258085517
q6,1,9,graphs different,0.26186705568510027
q6,1,10,think randomization,0.25953899044347317
q6,2,1,students,0.3075138687283652
q6,2,2,study,0.30135334103917555
q6,2,3,experimental design,0.29521772109908184
q6,2,4,element,0.2906127085539239
q6,2,5,experimental,0.2775703827475925
q6,2,6,statistics,0.2727872303905882
q6,2,7,models,0.26548962645023744
q6,2,8,participants,0.2562730006323915
q6,2,9,design,0.2558717929219068
q6,2,10,experiment,0.25554426022646876
q6,3,1,questions,0.5721462777373573
q6,3,2,kit,0.4279788475036905
q6,3,3,kits,0.37382653391744686
q6,3,4,pool,0.3608930729037516
q6,3,5,randomization used,0.34960954381061304
q6,3,6,randomized,0.347888923453929
q6,3,7,questions randomized,0.3456331009439798
q6,3,8,different kit,0.3456331009439798
q6,3,9,questions data,0.3456331009439798
q6,3,10,think kits,0.3456331009439798
q6,4,1,blocks,0.5913203259590252
q6,4,2,set blocks,0.43607186066264697
q6,4,3,bag,0.409724043959753
q6,4,4,block,0.37838020255485183
q6,4,5,chose,0.34541228708777705
q6,4,6,bags,0.31934947518653806
q6,4,7,didn know,0.31767341952622524
q6,4,8,group random,0.3003622595337814
q6,4,9,certain,0.30004247679788254
q6,4,10,good,0.30004247679788254
q6,5,1,charts,0.41534709269931264
q6,5,2,chart,0.387350468279828
q6,5,3,2d,0.34096905053217663
q6,5,4,bar,0.32821184307665247
q6,5,5,differences,0.3232485432477232
q6,5,6,3d,0.3201951859195088
q6,5,7,printed,0.315756423666218
q6,5,8,types,0.3153716026816272
q6,5,9,ratio,0.3140325606688565
q6,5,10,chart types,0.3040955844223116
q6,6,1,bags,0.6573724198724606
q6,6,2,bag,0.6348930256481342
q6,6,3,pick,0.4659278052040578
q6,6,4,bag different,0.46246396024773245
q6,6,5,picked,0.42237093562263356
q6,6,6,bag think,0.4152680415130386
q6,6,7,numbered,0.4152680415130386
q6,6,8,bag bag,0.4152680415130386
q6,6,9,randomization bags,0.4152680415130386
q6,6,10,random fact,0.4152680415130386
q6,7,1,stats,0.552462709913035
q6,7,2,courses,0.5327152811764827
q6,7,3,random,0.5206693571417295
q6,7,4,random sampling,0.4960192378907054
q6,7,5,sampling,0.4898543578736127
q6,7,6,218 class,0.4790377742629471
q6,7,7,class,0.4687417506118531
q6,7,8,played experiment,0.4587821818125107
q6,7,9,element played,0.4587821818125107
q6,7,10,group probably,0.4587821818125107
q6,8,1,cows,0.5679619331938179
q6,8,2,intervention,0.41953987183104546
q6,8,3,confounding,0.39054938912963333
q6,8,4,randomization helps,0.38316812428227975
q6,8,5,variables,0.38254137852019665
q6,8,6,confounding variables,0.3816035658719037
q6,8,7,old,0.3788288984255995
q6,8,8,years old,0.3788288984255995
q6,8,9,years,0.36333218690615277
q6,8,10,validity,0.3527333045019033
q6,9,1,used different,0.6304557205859056
q6,9,2,colors,0.6304557205859056
q6,9,3,kind,0.6119511805352454
q6,9,4,different sets,0.6119511805352454
q6,9,5,patterns easy,0.5475672127453015
q6,9,6,sme,0.5475672127453015
q6,9,7,sme answer,0.5475672127453015
q6,9,8,randomization type,0.5475672127453015
q6,9,9,letter locations,0.5475672127453015
q6,9,10,randomization colors,0.5475672127453015
q7,-1,1,bar,0.2613576679231169
q7,-1,2,charts,0.23559510471849476
q7,-1,3,people,0.22348685961832646
q7,-1,4,graphs,0.22261571059821395
q7,-1,5,bar charts,0.22156045916732045
q7,-1,6,printed,0.22077835397756146
q7,-1,7,different,0.22033841598006756
q7,-1,8,results,0.21927101098414317
q7,-1,9,3d,0.2176104090063955
q7,-1,10,using,0.2172646624863877
q7,0,1,experiment,0.31370797711905535
q7,0,2,doing,0.28049932961513285
q7,0,3,questions,0.27258654622256406
q7,0,4,clearer,0.2670720370975336
q7,0,5,variables,0.2651573838024474
q7,0,6,study,0.2621341272592852
q7,0,7,like,0.25990107415487923
q7,0,8,abstract,0.25774455629612375
q7,0,9,methods,0.25693758096711056
q7,0,10,understand,0.25370558917477015
q7,1,1,graph,0.34442785315027546
q7,1,2,3d graphs,0.329824862548871
q7,1,3,2d,0.3156850532600506
q7,1,4,graphs,0.3076599911739892
q7,1,5,chart,0.28755793532386736
q7,1,6,3d,0.28498577069267156
q7,1,7,difference,0.2703020041310871
q7,1,8,3d charts,0.26722290230994816
q7,1,9,charts,0.26385808855593923
q7,1,10,2d graphs,0.2567394600079749
q7,2,1,models,0.3284380924727543
q7,2,2,depth,0.3069569194665245
q7,2,3,objects,0.30074495014275315
q7,2,4,2d,0.285938415771252
q7,2,5,depth perception,0.27654451022317694
q7,2,6,blocks,0.274373634059497
q7,2,7,3d models,0.2698413638805113
q7,2,8,experiment,0.25318339888834035
q7,2,9,3d objects,0.2518675841215514
q7,2,10,3d visuals,0.2504677142650904
q7,3,1,charts,0.31967756678821785
q7,3,2,bar,0.31161207917553807
q7,3,3,heights,0.30072768689034746
q7,3,4,3d printed,0.2884834463006705
q7,3,5,printed,0.28532743982767605
q7,3,6,bar heights,0.28122889515931443
q7,3,7,printed charts,0.26521689062118614
q7,3,8,2d 3d,0.2611181468546598
q7,3,9,digital,0.25483381797764937
q7,3,10,3d,0.2518924634637315
q7,4,1,graphs,0.3480420061108036
q7,4,2,2d graphs,0.2980691906692119
q7,4,3,3d graphs,0.28497215533841647
q7,4,4,different,0.2665316233786009
q7,4,5,kit,0.26034720042973963
q7,4,6,types graphs,0.25453209386457826
q7,4,7,people,0.25288003387211166
q7,4,8,able,0.2480146055529825
q7,4,9,computer,0.2478947464972365
q7,4,10,value,0.24589714615162345
q7,5,1,visualization,0.3437374395370815
q7,5,2,perceptual,0.3413324012836741
q7,5,3,judgments,0.33323132258664073
q7,5,4,3d printed,0.3198034211727824
q7,5,5,printed,0.31025276260622997
q7,5,6,data visualization,0.3071206235580078
q7,5,7,charts,0.2986523598187548
q7,5,8,printed bar,0.2964778618228165
q7,5,9,aims,0.2833557425864459
q7,5,10,effectiveness,0.2831534623931164
q7,6,1,graphs,0.26757464826018384
q7,6,2,know,0.2662945715044699
q7,6,3,responses,0.2635476644302933
q7,6,4,just,0.26070354247592953
q7,6,5,clearer participant,0.25848803010777566
q7,6,6,experiment,0.2522585794767126
q7,6,7,components,0.2510871071708208
q7,6,8,abstract,0.24979575539456128
q7,6,9,clearer,0.24881991391895783
q7,6,10,responses measured,0.24830530215099536
q7,7,1,models,0.3823481150860611
q7,7,2,online,0.37065483097937674
q7,7,3,printed,0.36541090187215286
q7,7,4,3d models,0.3441157723298392
q7,7,5,shape,0.3368013667495485
q7,7,6,printed 3d,0.3335886420457573
q7,7,7,model,0.33234919686986863
q7,7,8,3d printed,0.332113289638032
q7,7,9,compared online,0.3252160848822065
q7,7,10,image,0.32058079437139336
q7,8,1,bars,0.4616728078088743
q7,8,2,heights,0.3930381134567098
q7,8,3,claim,0.33948874600102785
q7,8,4,supposed,0.3323735870435435
q7,8,5,different heights,0.33058894629412255
q7,8,6,clearer,0.3272208001219642
q7,8,7,reasoning,0.32080524840164165
q7,8,8,successful,0.31148836740001495
q7,8,9,bars supposed,0.31148836740001495
q7,8,10,refute,0.31148836740001495
q7,9,1,impaired,0.5190637334852382
q7,9,2,visually impaired,0.5009995358070901
q7,9,3,visually,0.48913276427726254
q7,9,4,graphics visually,0.3430282639812604
q7,9,5,graphics,0.31300720840937624
q7,9,6,results study,0.3002586861348164
q7,9,7,study,0.29898695237820927
q7,9,8,people visually,0.2937649663332926
q7,9,9,did know,0.2867199467188387
q7,9,10,results,0.28005298612402096
q8,-1,1,learned,0.36497542385134835
q8,-1,2,did,0.28726016992242726
q8,-1,3,lot,0.26752865623277
q8,-1,4,better,0.26087559487421313
q8,-1,5,information learned,0.25913103569190643
q8,-1,6,understand,0.25649181599153054
q8,-1,7,learn,0.24479427373278057
q8,-1,8,experiment learned,0.24287864845036877
q8,-1,9,just,0.23913957552860474
q8,-1,10,able,0.23864012968222575
q8,0,1,3d,0.36827416504484584
q8,0,2,2d,0.34886622226105735
q8,0,3,graphs,0.3457529981833912
