topic_id,n_docs,topic_name_default,Representation,KeyBERT,MMR,POS,Representative_Docs,question,proportion,top_terms,representative_docs,topic_label_llm
-1,135,-1_color_bar graphs_colors_bigger,"['color', 'bar graphs', 'colors', 'bigger', 'reading', '50', 'values', 'stats', 'estimating', 'question']","['bar graphs', 'bar graph', 'interpret data', 'graphs experimenter', 'students accurately', 'difference bars', 'testing hypothesis', 'chart', 'possible hypothesis', 'testing difference']","['color', 'bar graphs', 'bigger', 'reading', 'values', 'stats', 'estimating', 'bar graph', 'height bar', 'class']","['color', 'colors', 'bigger', 'values', 'stats', 'question', 'bars', 'right', 'likely', 'answers']","['They might have hyponthesized that participants would be able to identify larger values more accurately when the color contrast was high, and that accuracy might decrease as the colors became more similar in shade. Another possible hypothesis is that location on the grid (e.g., top-left vs. bottom-right) or the type of label (uppercase vs. lowercase letters) could influence perception or speed.', 'That certain colors are easier to interpret or that males or females can interpret the bars more accurately purely based off of looking at the bars. Another possible hypothesis would be that it is easier or harder to interpret the bars on a screen than in person.', 'One hypothesis could of been the perception accuracy the experimenter might hypothesize that individuals are accurate in estimating the height of the bar graph of the smaller one. The effect of the visual presentation the experimenter could hypothesize that certain visual presentations such as different colors, orientations of the graph could of had a influence on me and the other participants accuracy in estimating the height. These are just a few of the hypotheses I think that could of been possible.']",q3,0.2611218568665377,"color, bar graphs, colors, bigger, reading, 50, values, stats, estimating, question","They might have hyponthesized that participants would be able to identify larger values more accurately when the color contrast was high, and that accuracy might decrease as the colors became more similar in shade. Anoth || That certain colors are easier to interpret or that males or females can interpret the bars more accurately purely based off of looking at the bars. Another possible hypothesis would be that it is easier or harder to int || One hypothesis could of been the perception accuracy the experimenter might hypothesize that individuals are accurate in estimating the height of the bar graph of the smaller one. The effect of the visual presentation th",
0,151,0_experiment_based_shapes_estimations,"['experiment', 'based', 'shapes', 'estimations', 'relative', 'presented', 'testing hypothesis', 'things', 'answer', 'like']","['hypothesis students', 'hypotheses experimenter', 'experiment testing', 'size differences', 'hypothesis people', 'alternative hypothesis', 'students accurately', 'depth perception', 'testing hypothesis', 'experiment']","['shapes', 'experiment testing', 'sizes', 'object', 'groups', 'influence', 'hypothesis people', 'model', 'visual', 'estimating']","['experiment', 'shapes', 'estimations', 'relative', 'things', 'answer', 'sizes', 'object', 'online', 'groups']","['The experiment might have been testing whether certain visual or contextual factors influence how people interpret data or make decisions based on charts', 'I think that this experimenter may of been testing the \xa0hypothesis, if information is presented on a specific type of statistical graph, then \xa0it be easier for a stats 218 current or former student to read, understand and interpret information from. In general they are testing how different graphs are analyzed, and interpreted.', 'Some possible hypotheses include:\n\n* Students tend to make systematic errors when estimating relative sizes, particularly when comparing 2D and 3D shapes.\n\n* The degree of error increases with the dimensional complexity of the object (e.g., 3D vs. 2D).\n\n* Students may tend to overestimate or underestimate size ratios when one of the models is set as a baseline.']",q3,0.29206963249516443,"experiment, based, shapes, estimations, relative, presented, testing hypothesis, things, answer, like","The experiment might have been testing whether certain visual or contextual factors influence how people interpret data or make decisions based on charts || I think that this experimenter may of been testing the  hypothesis, if information is presented on a specific type of statistical graph, then  it be easier for a stats 218 current or former student to read, understand an || Some possible hypotheses include:  * Students tend to make systematic errors when estimating relative sizes, particularly when comparing 2D and 3D shapes.  * The degree of error increases with the dimensional complexity ","Experiment Hypothesis Testing, Data Interpretation, Visual"
1,149,1_charts_digital_printed_3d printed,"['charts', 'digital', 'printed', '3d printed', 'physical', 'chart', '3d graphs', '2d graphs', 'screen', 'perceptual']","['compared 3d', '3d graphs', 'bar graphs', 'graphs 3d', 'graphs people', 'data graph', '3d', 'printed graphs', 'understand 2d', 'graphs accurately']","['charts', '3d printed', '3d graphs', '2d graphs', 'perceptual', '3d model', 'compared 3d', 'bar graphs', 'graphics', '2d 3d']","['charts', 'digital', 'physical', 'chart', 'screen', 'perceptual', '2d', 'model', 'type', 'ratio']","['The experimenters likely had several hypotheses in mind. One possible hypothesis is that participants would make more accurate judgments using 2D bar charts than with 3D digital charts, reflecting prior research that shows 3D projections can distort perception. Another hypothesis might be that 3D printed charts would yield better perceptual accuracy than their digital 3D counterparts, due to the physical depth cues and tactile information. Additionally, they may have hypothesized that the positioning of bars—adjacent versus separated—would influence judgment accuracy across the different chart formats.', '*\n\nPrimary Hypothesis:\n\n*\n\nH1: 3D printed bar charts result in more accurate perceptual judgments (e.g., identifying smaller bars and estimating ratios) than 3D digital bar charts and 2D charts.\n\n*\n\nNull (H0): There is no difference in perceptual judgment accuracy across 2D, 3D digital, and 3D printed bar charts.\n\n*\n\nSecondary Hypotheses:\n\n*\n\nH2: Participants will perform better (more accurately or consistently) on 2D bar charts than on 3D digital charts, consistent with previous literature.\n\n*\n\nH3: 3D printed charts mitigate some of the perceptual distortions introduced by 3D digital rendering (e.g., perspective issues).\n\n*\n\nH4: The separation or adjacency of the bars (layout differences) influences accuracy of comparison regardless of chart type.\n\n*\n\nExploratory Hypotheses:\n\n*\n\nH5: The use of physical interaction (tactile and visual feedback from 3D printed charts) helps participants make better perceptual judgments than purely visual representations.\n\n*\n\nH6: Participants’ performance varies with the size of the ratio being estimated—the larger or more subtle the ratio, the greater the differences between chart types.', 'The experimenter was likely testing a few key hypotheses:\n\n\xa0\n\n* People are more accurate at judging bar sizes in 2D charts than in 3D digital charts.\n\n* 3D printed charts lead to better accuracy than 3D charts shown on a screen.\n\n* The layout of the bars (adjacent vs. separated) affects how well people can judge the size differences.\n\n* Physical interaction with a chart (like touching a 3D printed one) might improve a person’s perception of the data.\n\nThese hypotheses help explore whether the format of a graph changes how clearly people understand the information.']",q3,0.28820116054158607,"charts, digital, printed, 3d printed, physical, chart, 3d graphs, 2d graphs, screen, perceptual","The experimenters likely had several hypotheses in mind. One possible hypothesis is that participants would make more accurate judgments using 2D bar charts than with 3D digital charts, reflecting prior research that sho || *  Primary Hypothesis:  *  H1: 3D printed bar charts result in more accurate perceptual judgments (e.g., identifying smaller bars and estimating ratios) than 3D digital bar charts and 2D charts.  *  Null (H0): There is n || The experimenter was likely testing a few key hypotheses:     * People are more accurate at judging bar sizes in 2D charts than in 3D digital charts.  * 3D printed charts lead to better accuracy than 3D charts shown on a",Perceptual Accuracy Comparison (2D vs 3D)
2,29,2_bars_bar graph_tall_estimation,"['bars', 'bar graph', 'tall', 'estimation', 'closer', 'heights bar', 'angles', 'size difference', 'know', 'apart']","['bars compared', 'bar height', 'size bar', 'bar graphs', 'difference bars', 'bar graph', 'heights bar', 'size difference', 'height bar', 'proportion']","['bar graph', 'estimation', 'heights bar', 'size difference', 'affect', 'bar graphs', 'size bar', 'students guess', 'different graphs', 'bars compared']","['bars', 'tall', 'closer', 'estimation', 'angles', 'apart', 'shorter', 'small', 'influences', 'different graphs']","['If smaller bars in a bar graph are next to large bars, the small bar will look even smaller.', 'When the bars next to the ones looking at the estimation of size difference will be less accurate than when the bars are right next to each other.', 'If the bars are further apart in height, it will be more difficult for students to guess how tall the shorter bar is out of 100.']",q3,0.05609284332688588,"bars, bar graph, tall, estimation, closer, heights bar, angles, size difference, know, apart","If smaller bars in a bar graph are next to large bars, the small bar will look even smaller. || When the bars next to the ones looking at the estimation of size difference will be less accurate than when the bars are right next to each other. || If the bars are further apart in height, it will be more difficult for students to guess how tall the shorter bar is out of 100.",Bar Graph Perception Accuracy Distance
3,22,3_statistics_taking_class_stats,"['statistics', 'taking', 'class', 'stats', 'numerical', 'currently', 'statistic', '218', 'think hypothesis', 'unl students']","['statistic', 'hypothesis students', 'statistics', 'stats', 'students guess', 'think hypothesis', 'stats 218', 'percentages', '218 students', 'stat 218']","['statistics', 'statistic', 'unl students', 'students guess', 'age group', 'difference average', 'estimate proportions', 'overestimate underestimate', 'variables', 'correlation']","['statistics', 'class', 'stats', 'numerical', 'statistic', 'heat', 'skills', 'present', 'effects', 'actual']","['STAT 218 students will guess the correct present of comparison size because students are instilled with critical thinking skills.', 'How taking Statistics 218 effects how you can compare two groups.', 'UNL students now in Stats 218 have lower test results than UNL students who took the test originally.']",q3,0.0425531914893617,"statistics, taking, class, stats, numerical, currently, statistic, 218, think hypothesis, unl students",STAT 218 students will guess the correct present of comparison size because students are instilled with critical thinking skills. || How taking Statistics 218 effects how you can compare two groups. || UNL students now in Stats 218 have lower test results than UNL students who took the test originally.,Comparing_Statistics_Performance_in_Stats218
4,16,4_null hypothesis_alternative_alternative hypothesis_graphs 3d,"['null hypothesis', 'alternative', 'alternative hypothesis', 'graphs 3d', 'difference accuracy', '2d models', 'experience', 'significant', 'printed graphs', 'compared 3d']","['null hypothesis', 'testing hypothesis', 'alternative hypothesis', 'hypotheses experimenter', 'compared 3d', 'hypothesis people', 'testing 2d', 'comparisons', 'statistics', 'comparison']","['null hypothesis', 'graphs 3d', 'difference accuracy', 'compared 3d', '3d models', 'given 3d', 'statistics', 'depth perception', 'bar height', 'data 2d']","['null hypothesis', 'alternative', 'alternative hypothesis', 'experience', 'significant', 'perceptual', 'statistics', 'eyes', 'equal', 'population']","[""The null hypothesis the experimenter may have been testing was that the 2D models block's height that was estimated correctly had no difference in proportion compared to the 3D models results. While the alternative hypothesis could be that the 2D models block's height that was estimated correctly had a greater difference in proportion compared to the 3D models' proportions."", 'Null Hypothesis: There is no significant difference in the accuracy of perceptual judgement of bar heights between 2D graphs, 3D digital graphs, and 3D printed graphs\n\nAlternative Hypothesis: The is a significant difference in the accuracy of perceptual judgements of bar heights between 2D graphs, 3D digital graphs, and 3D printed graphs', 'Null Hypothesis (H0): There is no significant difference in the accuracy of perceptual judgments between 2D graphs, 3D digital graphs, and 3D printed graphs.\n\nAlternative Hypothesis (H1): There is a significant difference in the accuracy of perceptual judgments between 2D graphs, 3D digital graphs, and 3D printed graphs.']",q3,0.030947775628626693,"null hypothesis, alternative, alternative hypothesis, graphs 3d, difference accuracy, 2d models, experience, significant, printed graphs, compared 3d","The null hypothesis the experimenter may have been testing was that the 2D models block's height that was estimated correctly had no difference in proportion compared to the 3D models results. While the alternative hypot || Null Hypothesis: There is no significant difference in the accuracy of perceptual judgement of bar heights between 2D graphs, 3D digital graphs, and 3D printed graphs  Alternative Hypothesis: The is a significant differe || Null Hypothesis (H0): There is no significant difference in the accuracy of perceptual judgments between 2D graphs, 3D digital graphs, and 3D printed graphs.  Alternative Hypothesis (H1): There is a significant differenc",Null Hypothesis vs Alternative Hypothesis Comparison
5,15,5_blocks_taller_believe_think experimenter,"['blocks', 'taller', 'believe', 'think experimenter', 'estimate proportions', 'actually', 'skills', 'degree', 'shapes', 'able estimate']","['testing students', 'students accurately', 'blocks', 'think experimenter', 'size differences', 'null hypothesis', 'accurately determine', 'percentages', 'estimate proportions', 'shapes']","['think experimenter', 'estimate proportions', 'skills', 'shapes', 'length', 'size differences', 'correlation', 'people accurately', 'participant', 'computer screen']","['blocks', 'taller', 'skills', 'degree', 'shapes', 'length', 'correlation', 'general', 'lower', 'eyes']","['Students are better able to estimate proportions of blocks relative to one other using a specific style of graph.', ""It might have been testing if boys or girls could tell the percentages of the blocks better than the other. It also could have been testing just how well in general can college students' eyes test the size differences of blocks."", 'i think the experimenter was testing accuracy and estimation. Maybe a hypothesis similar to the participant will be able to more accurately estimate the correct amount when the blocks have a guide next to it.']",q3,0.029013539651837523,"blocks, taller, believe, think experimenter, estimate proportions, actually, skills, degree, shapes, able estimate",Students are better able to estimate proportions of blocks relative to one other using a specific style of graph. || It might have been testing if boys or girls could tell the percentages of the blocks better than the other. It also could have been testing just how well in general can college students' eyes test the size differences of || i think the experimenter was testing accuracy and estimation. Maybe a hypothesis similar to the participant will be able to more accurately estimate the correct amount when the blocks have a guide next to it.,"Estimation Skills, Graph Interpretation, Gender Differences,"
-1,129,-1_numbers_shapes_online_slider,"['numbers', 'shapes', 'online', 'slider', 'compared', 'pieces', 'instead', 'sure', 'shape', 'questions']","['error participants', 'did experiment', 'error involved', 'error people', 'perception differences', 'sampling bias', 'doing experiment', 'skew results', 'different data', 'biases']","['numbers', 'shapes', 'slider', 'compared', 'pieces', 'error participants', 'triangle', 'perceptual', 'angles', 'colors']","['numbers', 'shapes', 'online', 'slider', 'pieces', 'shape', 'sure', 'exact', 'questions', 'physical']","['Sources of error involved in this experiment could include the subjects not understanding or incorrectly using the online website, a sampling error/bias (only using STAT students instead of taking a true random sample), and maybe the researchers holding some sort of bias when analyzing the data.', 'I thought that the slide bar was a little confusing even after the example. When I was taking the experiment I read the bar as the left end 0% smaller then the further you slid it the closer it was in size to the bigger graph. Someone else who is doing the experiment could interpret the slide bar differently.\xa0\n\n\xa0\n\nAnother error that could happen is if the results from online-only are not separated from the ones that have the graphs printed off.', 'Depending on what group the researchers are testing (eg.: UNL students versus U.S. population), one source of error could be the lack of a true random sample. For example, if the goal is to test all human eyes, those in a University level statistics course do not represent the entirety of the population.\xa0\n\n\xa0\n\nAnother source of error could be the lack of clarifying questions. If a student is colorblind, for one possible example, this would not reflect accurately on the general student population, resulting as an outlier. (Or perhaps, he would see the shade differentiation better than the average eye.)\xa0\n\n\xa0\n\nAnother source of error could possibly be the fact that a tutorial on how to use and move the 3-D model was not included. This could lead to a number of human mistakes that would result in experimental error.']",q4,0.2495164410058027,"numbers, shapes, online, slider, compared, pieces, instead, sure, shape, questions","Sources of error involved in this experiment could include the subjects not understanding or incorrectly using the online website, a sampling error/bias (only using STAT students instead of taking a true random sample),  || I thought that the slide bar was a little confusing even after the example. When I was taking the experiment I read the bar as the left end 0% smaller then the further you slid it the closer it was in size to the bigger  || Depending on what group the researchers are testing (eg.: UNL students versus U.S. population), one source of error could be the lack of a true random sample. For example, if the goal is to test all human eyes, those in ",
0,163,0_lack_error involved_lot_include,"['lack', 'error involved', 'lot', 'include', 'wrong', 'answers', 'times', 'environmental', 'survey', 'error include']","['sample size', 'experiment include', 'experiment people', 'error involved', 'experiment sources', 'error data', 'null hypothesis', 'sample', 'environmental factors', 'doing experiment']","['lack', 'error involved', 'environmental', 'survey', 'study', 'effort', 'experiment sources', 'measurements', 'sample', 'directions']","['lack', 'lot', 'wrong', 'answers', 'times', 'environmental', 'survey', 'study', 'questions', 'confusion']","['A source of error that could have been involved in this experiment is if a participant accidently got the wrong kit and typed in a different kit and then the answers would not match up to the correct way the experiment should have been done. Another error that could have occured is if the participants looked at the right answer and then just matched their answer with the correct answer since it was shown while taking the test.', 'Possible sources of error include sampling variability, measurement error, and bias in data collection. If participants were not randomly assigned, confounding variables might also affect the results. Additionally, if the sample size was small, the estimates may not accurately represent the population.', '1. Sample Size and Selection Bias:\n\n*\n\nError: If the sample size of cows is too small or not representative of the broader population, your findings may not be applicable to all cows.\n\n*\n\nMitigation: Ensure a large and diverse sample of cows from various farms or regions, considering factors like breed, genetics, and environment.\n\n2. Age Determination Errors:\n\n*\n\nError: Inaccurate age information for the cows could skew results.\n\n*\n\nMitigation: Verify ages through reliable sources such as birth records or veterinary documentation.\n\n3. Environmental Factors:\n\n*\n\nError: Environmental conditions, such as climate, diet, and overall farm management, could influence calving success and may not be controlled.\n\n*\n\nMitigation: Attempt to account for or standardize environmental variables across your experiment.']",q4,0.3152804642166344,"lack, error involved, lot, include, wrong, answers, times, environmental, survey, error include","A source of error that could have been involved in this experiment is if a participant accidently got the wrong kit and typed in a different kit and then the answers would not match up to the correct way the experiment s || Possible sources of error include sampling variability, measurement error, and bias in data collection. If participants were not randomly assigned, confounding variables might also affect the results. Additionally, if th || 1. Sample Size and Selection Bias:  *  Error: If the sample size of cows is too small or not representative of the broader population, your findings may not be applicable to all cows.  *  Mitigation: Ensure a large and d","Experiment Errors, Sampling Variability, Measurement Error,"
1,62,1_3d_charts_3d printed_models,"['3d', 'charts', '3d printed', 'models', 'printed', 'angle', 'bar heights', 'depth', 'bit', 'objects']","['experiment people', 'charts', 'printed graphs', 'measurement', 'depth perception', 'experiment participant', 'bar heights', 'individual differences', 'inaccurate', 'error human']","['3d', 'charts', '3d printed', 'models', 'bar heights', 'depth perception', 'differences', 'skew results', 'sizes', 'printed graphs']","['3d', 'charts', 'models', 'angle', 'depth', 'objects', 'bit', 'screen', 'depth perception', 'differences']","['There are a few ways errors could creep into this experiment. People might misjudge bar heights due to tricky 3D visuals or poor lighting on the printed charts. Even though the colors were random, some participants might still connect certain colors with specific meanings. Everyone sees and processes visuals a bit differently too, so personal differences could skew the results. Plus, as the experiment goes on, participants might get better at the task—or just tired—which could affect how accurately they judge the charts.', 'There are a few ways errors could creep into this experiment. People might misjudge bar heights due to tricky 3D visuals or poor lighting on the printed charts. Even though the colors were random, some participants might still connect certain colors with specific meanings. Everyone sees and processes visuals a bit differently too, so personal differences could skew the results. Plus, as the experiment goes on, participants might get better at the task—or just tired—which could affect how accurately they judge the charts.', 'Several sources of error could affect the results of this experiment:\n\n\xa0\n\n* Participant bias – Most participants were from the Statistics department, so they may have had more experience with charts than the general population.\n\n* Human error – People might still use their fingers or guess based on instinct, even if told not to, which can skew the results.\n\n* Printing variations – Small differences in the quality or shape of the 3D printed charts might influence how easy they are to interpret.\n\n* Lighting or angle issues – For digital 3D charts, the angle or screen brightness could affect how well participants see the data.\n\n* Randomization differences – The random selection of bar heights and chart layouts might unintentionally make some comparisons easier or harder than others.\n\nThese factors could all impact the accuracy of participants’ judgments.']",q4,0.11992263056092843,"3d, charts, 3d printed, models, printed, angle, bar heights, depth, bit, objects","There are a few ways errors could creep into this experiment. People might misjudge bar heights due to tricky 3D visuals or poor lighting on the printed charts. Even though the colors were random, some participants might || There are a few ways errors could creep into this experiment. People might misjudge bar heights due to tricky 3D visuals or poor lighting on the printed charts. Even though the colors were random, some participants might || Several sources of error could affect the results of this experiment:     * Participant bias – Most participants were from the Statistics department, so they may have had more experience with charts than the general popu",Error Sources in 3D Printed Charts
2,51,2_graph_graphs_answers_understand,"['graph', 'graphs', 'answers', 'understand', 'experience', 'looking', 'participating', 'values', 'reading', 'isn']","['graph', 'graphs', 'bar graph', 'error people', 'statistics students', 'charts', 'experiment include', 'variability', 'analyzing', 'mistakes']","['graphs', 'answers', 'experience', 'participating', 'reading', 'study', 'types', 'variability', 'statistics students', 'students participating']","['graph', 'graphs', 'answers', 'experience', 'values', 'great', 'study', 'order', 'types', 'possibility']","[""The error is just human guessing. One thing I noticed is that you couldn't guess that one portion of the graph was 50% of the other that we were testing. I think there were errors on my end that I missed the guess by over 10%. I think the more that I kept getting asked questions on a specific graph, the more wrong answers I gave."", 'Sources of error in this experiment could include differences in how familiar people are with reading graphs, mistakes in measuring bar heights, or how well the 3D printed graphs were made. Lighting, screen quality, or distractions during the test could also affect results.', ""There are a few possible sources of error that I can think of in this experiment number one and the most common one would be human judgment everybody is going to look at the graph or a situation in a different way, especially if they are under stressors like is the person being watched by somebody so they're under pressure are they under a time limit? Are they in a group with a bunch of people that are a lot smarter than them, another source of air could be how the graph was printed or how the graph was displayed. What kind of lighting was it in? What was the angle of the graph? What was the angle of paper and another source of error would be do other people have more experience looking at different types of graphs.""]",q4,0.09864603481624758,"graph, graphs, answers, understand, experience, looking, participating, values, reading, isn","The error is just human guessing. One thing I noticed is that you couldn't guess that one portion of the graph was 50% of the other that we were testing. I think there were errors on my end that I missed the guess by ove || Sources of error in this experiment could include differences in how familiar people are with reading graphs, mistakes in measuring bar heights, or how well the 3D printed graphs were made. Lighting, screen quality, or d || There are a few possible sources of error that I can think of in this experiment number one and the most common one would be human judgment everybody is going to look at the graph or a situation in a different way, espec",Error Sources in Graph Reading
3,38,3_bar_bigger_know_smaller,"['bar', 'bigger', 'know', 'smaller', 'heights', 'bars', 'incorrectly', 'measurement', 'actually', 'visual perception']","['measurement errors', 'measurement', 'perception differences', 'human perception', 'measurements', 'measured', 'bar graph', 'measure', 'proportion', 'visual perception']","['heights', 'incorrectly', 'measurement', 'visual perception', 'judgment', 'eyesight', 'bar graph', 'perceive', 'distractions', 'numbers']","['bar', 'bigger', 'smaller', 'heights', 'bars', 'measurement', 'visual perception', 'exact', 'judgment', 'eyesight']","['1. Subjective perception - we may perceive the height of the bar graph differently based on certain factors\n\n2. Measurement errors - may be errors in the measurements we used to guess the height of the bar graph\xa0\n\n3. I feel like the environment you are surrounded by could be a factor such as distractions, or lighting conditions', 'Differences in individual visual perception can lead to variations in estimating bar heights. Lighting, screen quality, or distractions in the testing environment could impact focus and accuracy.', ""It just asked which one was bigger between the two shapes and I it didn't specifically say if we should measure just the one strip of the clump of strips that had that shape. Also we didn't know to what scale both of the set were to maybe the clump of strips with the circle had a measurement by 5 while the ones with the triangle had measurements by 25 so we don't know which one is truly bigger if we don't know the measurement proportion of the two different strips.""]",q4,0.0735009671179884,"bar, bigger, know, smaller, heights, bars, incorrectly, measurement, actually, visual perception","1. Subjective perception - we may perceive the height of the bar graph differently based on certain factors  2. Measurement errors - may be errors in the measurements we used to guess the height of the bar graph   3. I f || Differences in individual visual perception can lead to variations in estimating bar heights. Lighting, screen quality, or distractions in the testing environment could impact focus and accuracy. || It just asked which one was bigger between the two shapes and I it didn't specifically say if we should measure just the one strip of the clump of strips that had that shape. Also we didn't know to what scale both of the",Perception Variations in Bar Graph Estimation
4,23,4_statistics_sampling_218_random sampling,"['statistics', 'sampling', '218', 'random sampling', 'class', 'stat 218', 'stat', 'stats', 'population', 'stats 218']","['sample size', 'sample bias', 'sampling error', 'statistics students', 'sampling bias', 'statistics', 'random sampling', 'sample', '218 students', 'students taking']","['statistics', 'population', 'statistics students', 'sample', 'hypothesis', 'subjects', 'group', 'students students', 'sample bias', 'proportion']","['statistics', 'sampling', 'random sampling', 'class', 'stats', 'stat', 'population', 'statistics students', 'sample', 'hypothesis']","['The sampling group may be biased and not represent the entire population if it is only stat 218 students', ""I can't quite remember what the study said it's population was, but there could be a sampling bias based off the fact that this specific Stats 218 class was experimented. Since it was required and also anonymous, certain students could also have put in more or less effort into the test which could make the results less accurate."", ""As far as I know, there wasn't much random sampling involved or there may be some bias of sorts. The results may apply for students in STATS 218 here at UNL, but maybe not for other students taking a similar statistics class elsewhere.""]",q4,0.04448742746615087,"statistics, sampling, 218, random sampling, class, stat 218, stat, stats, population, stats 218","The sampling group may be biased and not represent the entire population if it is only stat 218 students || I can't quite remember what the study said it's population was, but there could be a sampling bias based off the fact that this specific Stats 218 class was experimented. Since it was required and also anonymous, certain || As far as I know, there wasn't much random sampling involved or there may be some bias of sorts. The results may apply for students in STATS 218 here at UNL, but maybe not for other students taking a similar statistics c",Sampling Bias in Stat 218 Population
5,19,5_blocks_id_internet_sets,"['blocks', 'id', 'internet', 'sets', 'previous', 'correct', 'impact', 'little', 'better', 'possibly']","['blocks', 'different results', 'results different', 'error involved', 'user error', 'error example', 'issues', 'confusion', 'outcomes', 'putting wrong']","['blocks', 'id', 'internet', 'previous', 'different results', 'outcomes', 'putting wrong', 'set', 'user error', 'results different']","['blocks', 'previous', 'sets', 'internet', 'correct', 'little', 'answer', 'wrong', 'different results', 'outcomes']","[""I guess it could be something like we all didn't have the same blocks we were given, some students were older than others and could do better, some students had previous practice, instructions were off/ poorly worded, or something like not randomized."", 'When using the 3D printed blocks, the participant could have used the wrong block or looked at the wrong column on the block. The internet could have also been a factor; if the internet was not working properly. Or malfunctions in the survey.', 'Error that could be found in this could be in this especially since it is online is that is that online error, not seeing all the reality of the blocks because you are unable to really see the models, another possibility is possibly the color error, for example it may impact how the audience is viewing that possibly with eye color issues.']",q4,0.0367504835589942,"blocks, id, internet, sets, previous, correct, impact, little, better, possibly","I guess it could be something like we all didn't have the same blocks we were given, some students were older than others and could do better, some students had previous practice, instructions were off/ poorly worded, or || When using the 3D printed blocks, the participant could have used the wrong block or looked at the wrong column on the block. The internet could have also been a factor; if the internet was not working properly. Or malfu || Error that could be found in this could be in this especially since it is online is that is that online error, not seeing all the reality of the blocks because you are unable to really see the models, another possibility",Online Block Misinterpretation
6,17,6_human perception_eyesight_comparisons_problems,"['human perception', 'eyesight', 'comparisons', 'problems', 'subjective', 'impairments', 'visual impairments', 'ability', 'bad', 'perceptions']","['visual impairments', 'eye sight', 'eyesight', 'impairments', 'visual perception', 'human perception', 'sight', 'eye', 'perceptions', 'ability']","['human perception', 'eyesight', 'comparisons', 'subjective', 'visual impairments', 'perceptions', 'eye sight', 'visual perception', 'judge', 'heights']","['eyesight', 'visual impairments', 'subjective', 'comparisons', 'problems', 'impairments', 'ability', 'bad', 'mental', 'perceptions']","['Eye sight impairment such as wearing glasses or not.', 'Eyesight disadvantages, mental exhaustion, level of effort put in, etc', 'Peoples ability to judge the heights and visual impairments.']",q4,0.03288201160541586,"human perception, eyesight, comparisons, problems, subjective, impairments, visual impairments, ability, bad, perceptions","Eye sight impairment such as wearing glasses or not. || Eyesight disadvantages, mental exhaustion, level of effort put in, etc || Peoples ability to judge the heights and visual impairments.",Visual Perception Challenges & Impairments
7,15,7_color_likely_screen_potentially,"['color', 'likely', 'screen', 'potentially', 'brightness', 'quality', 'differently', 'participate', 'depth perception', 'judge']","['perception differences', 'sample size', 'visual impairments', 'depth perception', 'error participants', 'sample bias', 'colorblind', 'brightness', 'color', 'colors']","['brightness', 'depth perception', 'visual impairments', 'screen brightness', 'quality distractions', 'screen quality', 'sample bias', 'experiment participants', 'colors', 'perception differences']","['color', 'likely', 'screen', 'brightness', 'quality', 'physical', 'depth', 'visual impairments', 'problems', 'worse']","['Some sources of error could possibly include individual difference between spaces, lighting, or viewing angle. There also could be biased on the color association and sample size as well.', 'Perceptual Bias: People may interpret color intensity differently depending on their vision or screen brightness.\n\nHuman Error: Participants might misjudge small differences in shading.\n\nEnvironmental Factors: lighting conditions, screen quality, or distractions could affect performance.\n\nColor Vision Deficiencies: Some participants might have difficulty distinguishing shades, which could skew results.', ""* There is likely some sample bias resulting from the study being a voluntary participation survey - certain types of people may be more likely to participate than others\xa0\n\n* Screen and imaging quality can vary between devices leading colors/shades to appear differently, without standardized device specs these discrepancies can increase variability in answers\xa0\n\n* perceptions of both color and size are influenced by a lot of personal characteristics that can't all be accounted for""]",q4,0.029013539651837523,"color, likely, screen, potentially, brightness, quality, differently, participate, depth perception, judge","Some sources of error could possibly include individual difference between spaces, lighting, or viewing angle. There also could be biased on the color association and sample size as well. || Perceptual Bias: People may interpret color intensity differently depending on their vision or screen brightness.  Human Error: Participants might misjudge small differences in shading.  Environmental Factors: lighting c || * There is likely some sample bias resulting from the study being a voluntary participation survey - certain types of people may be more likely to participate than others   * Screen and imaging quality can vary between d","Perceptual Bias, Human Error, Environmental Factors,"
