question,doc_id,response_text,primary_topic,primary_topic_fit,primary_topic_name,primary_topic_prob
q1,46,"I feel like scientific investigation for a researcher is being the one who comes out with the tests and questions and also asked them/ test their hypothesis to the public. I feel like being someone in the general public being a test subject, you are kind of blind to the experiment because you hopefully don't know its happening. I also feel like being in the general public and then seeing the results it makes you think and maybe it was something you never thought about before that day.",9,9,9_hypothesis conducting_investigation involves_main_look like,0.3726070166213138
q1,47,"I think that science happens through a set belief that you must go through each step and examine the question that is at hand. You ask your question, then test it and study what you find. You then use what you find to better your future and know what you learned from your results and think about how you could improve and move forward.",5,5,5_theory_reject_disprove_theories,1.0
q1,48,"Scientific investigation process for a researcher, I feel is more in depth and has a more thoughtful perspective because they do it more often and all the time. While someone who is of the general public may not have research experience. The general public may cut corners or not go as much in depth.",0,0,0_depth_researcher lot_think researcher_compared general,0.1433225206115099
q1,49,"From the perspective of a researcher, the process of the scientific method would be used. First, ask a question - aka, the overall question and purpose of the experiment - then, formulate a hypothesis based on the question. Follow up with the design of the experiment (such as the processes, the population/subjects involved, the time frame, etc.), complete it, and evaluate the results.

From the perspective of the general public, the results/conclusions are typically all that is seen - the extensive planning and process is overlooked.",7,7,7_group_researched_gathered_tested,1.0
q1,50,"I think scientific investigation is one way to take a theory, use scientific evidence, and draw conclusions from that. I honestly don't know exactly, but I'm guessing one would come up with a question, first. Then using concrete evidence or inferences from things we have already proven, and draw a conclusion from that. This seems to make the most sense, but like I said prior, I honestly do not know.",10,10,10_investigation starts_prediction_include_questioning,0.41856929496822304
q1,51,"From the perspective of a researcher I believe the process begins with asking a question you want to find an answer to, then creating a way to study that thing while collecting data that will then be reviewed. With this, assumptions will be made about the data regarding the logic and significance that will lead to the development of conclusions. Lastly, a researcher would go over their findings and compare it to the initial question being asked. I believe someone of the general public that consumes these results would not be overly-observant. They may not take time to create a deep understanding of the implications, practicality, or process involved with coming to these conclusions.",7,7,7_group_researched_gathered_tested,0.2342710243359633
q1,52,"For the researcher, the process includes asking a question, making a hypothesis, preforming the experiment, collecting data, interpreting the results, and sharing the information. And for someone who is getting experimented on they need to understand the experiment and give the researchers honest and good information. The people in the experiment should be reliable sources and should actually be a part of the actual study of what's going on.",7,7,7_group_researched_gathered_tested,1.0
q1,53,"For a researcher, the process of a scientific investigation looks like finding what you would want to research, setting up the study (via finding participants, etc.), data collection, analysis, and so on. For the general public, a scientific investigation may look like possibly being asked to participate, or just someone taking in the results. For someone talking in the results, this would probably look like being shown the investigation/results, maybe looking more into the results to find the reliability, discussing with others about the results, and so on. Although in the end both the researcher and the general public end up with being able to see the same results, there is a difference, because the researcher would be using the results to hopefully help the general public and those the researcher is working with, while the general public would take the results to see if they impact their life, and what to think about what they're being shown/told.",9,9,9_hypothesis conducting_investigation involves_main_look like,0.2676939192028737
q1,54,"I think for a scientist, research is the pursuit of understanding the world we live in. I think this is a lifestyle and mindset that is unique to scientist and a foreign idea to average people. Most people get scientific data and may slightly change their lifestyle if at all. Scientist carry out experiments to the best of their ability because it is their passion.",-1,-1,-1_class_actually_ones_learning,0.5419325330678902
q1,55,"I think that the scientific process is very interesting. From the researcher's standpoint, they have to move through every step of the scientific process such as forming a hypothesis to generating their conclusion. For These individuals, this is a long process and takes many years. On the other hand, the people who consume scientific knowledge and results often do not see the hard work and dedication that this scientific process has taken.",1,1,1_individual_times_thought_importance,1.0
q1,56,"Typically the researcher will go into the experiment with knowledge that they are aiming to test, or validate their presumptions. The consumer who takes the the experiment will more likely not have any context to what is happening which is good because this limits potential bias. The results mean something completely different for the researcher than the consumer, most of the times the consumer will not have knowledge of what is happening in the experiment which will ultimately make them much more cooperative.",4,4,4_peers_factor_conducted_field,0.295157769820581
q1,57,"I think as a researcher your scientific investigation is to answer a question you have in the natural world. From there, they have to create a non-biased study to attempt to answer the question in mind. Then through there results they can draw possible conclusions from the study and compare them to similar studies. However, to someone in the general public a lot of times they think that the information in a study is concrete and the only right answer when in reality it often isn’t.",1,1,1_individual_times_thought_importance,1.0
q1,58,"For researchers, scientific investigation begins with asking questions and solving experiments. It's a detailed process of trial and error, where they constantly refine their understanding based on evidence. As far as the general public (the consumer) it begins with learning new discoveries from social media and the news. They might not see the behind the scenes work, like designing experiments or analyzing data. Instead, they get simplified versions that are easier to understand.",-1,-1,-1_class_actually_ones_learning,0.6731559685068178
q1,59,A scientific investigation for someone in the general public might involve looking at articles and determining which ones are accurate by their standards. A scientific investigation for a researcher is a tool to compare his experiments to and to also try and replicate or create a different outcome for the experiment. Then the researcher could confer information about the results of all of these experiments and articles along with his to confer his own opinion or maybe new results.,9,9,9_hypothesis conducting_investigation involves_main_look like,1.0
q1,60,I think it will look different from the perspective of a researcher  compared to a general person in public for sure. I think the researcher side of it will be more precise and in depth with more accurate results because they have a better idea behind a scientific investigation. When you are looking at a general person in public you will also probably get a good result because it will be more sincere but won't be looked at as accurately in this instance. A lot of this comes down to finding the right people in the right place for a good accurate result.,0,0,0_depth_researcher lot_think researcher_compared general,0.15592956285501075
q1,61,"For a scientific investigator there would be a lot more involved in the scientific process than for the general public. The public if they were to think about the scientific process probably just thinks about their high school science classes on what that is, but there is a lot more involved than just that. For a researcher they have to come up with what they want to research, figure out how they're going to do it (funding, etc.), and a lot of other things and then interpreting results at the end.",0,0,0_depth_researcher lot_think researcher_compared general,0.14574854628470793
q1,62,From a researcher there is going to be lots of different methods that you will have to go through to complete the investigation. From someone in the public most people are going to think that it is a short process to figure out what the investigation is. A researcher will take more time into their process.,0,0,0_depth_researcher lot_think researcher_compared general,0.13770462315109613
q1,63,"The process of scientific investigation looks differently for the investigator and the subjects. The investigator must make sure that all of the conditions for the experiment will lead to accurate results, which can be tricky. The investigator must also analyze the data collected and find results while still making sure that his data is accurate and precise. Someone in the general public may not know all of the ""background information"" or the details of the experiment.",-1,-1,-1_class_actually_ones_learning,0.094624842925083
q1,64,From the perspective of a researcher scientific research is more in depth. The general pubic might not think about as many variables or factors. Researchers will have more resources and know how to use them better than the general public might.,0,0,0_depth_researcher lot_think researcher_compared general,0.12933206336909364
q1,65,Science from the perspective of a researcher is more technical. People that conduct research pay more attention to the analytical steps and data accuracy. They have a deeper understanding of what goes into a scientific investigation. People from the general public may be more concerned about the results of a scientific investigation rather than the process. The general public may also be concerned about the validity of the science as well.,0,0,0_depth_researcher lot_think researcher_compared general,0.13354524039814303
q1,66,I think it’s looks more complex in their mind and they think more about outcomes. They researchers have done their research and know what they want their process to look like to get the best results. The people doing the experiment haven’t done research so do not know what the results should be. I think this is the whole point so that the outcome doesn’t become biased.,-1,-1,-1_class_actually_ones_learning,0.6077975848048158
q1,67,"If you’re a researcher, then scientific investigation comes from a thorough approach by understanding certain natural phenomena for certain problems we need to answer. They will usually pose a hypothesis, perform an experiment, collect data, and to answer a problem or question. Regular people in society will act more simply by using information found from online sources or different media places like Twitter or Google. Regular people will try to find credibility to answer their scientific questions.",9,9,9_hypothesis conducting_investigation involves_main_look like,1.0
q1,68,Science first starts with a idea for research you want to conduct. Then you move to a planning phase for how to carry out the research. Then you conduct the experiment and analyze the results. This is a very simplified version of how science is conducted.,5,5,5_theory_reject_disprove_theories,1.0
q1,69,"The researcher is analyzing data, and that may look different depending on what they are studying. As the consumer, we may have questions about why they are researching this topic. The data gives the scientists answers they are looking for.",4,4,4_peers_factor_conducted_field,0.42810408342334844
q1,70,"I think that from the perspective of a researcher would be different from a regular person because they would most likely know more in depth and also know more about what kind of research is going on. I think science happens by people trying new things and experimenting with them. Researchers, scientists and just regular people can all make science happen.",-1,-1,-1_class_actually_ones_learning,0.5419325330678902
q1,71,"Scientific investigation involves a multitude of steps. First, you must craft a hypothesis. Then you test and experiment, without guarantee of a desired result. The steps into creating a scientific result must be repeated and perfected before it can be released.",10,10,10_investigation starts_prediction_include_questioning,1.0
q1,72,I think the process of a scientific investigation is very long and boring. I think it is very hard to get enough participants and to interpret the data. The general public mostly just looks at the data you have given and draws a conclusion,-1,-1,-1_class_actually_ones_learning,0.1800820605053679
q1,73,"Compared to the perspective of the general public, the process of scientific investigation in the perspective of a researcher is a lot more complex. Often times, it's easy to assume an investigation is as simple as identifying a problem, then immediately attempting to find a solution. However, it is a longer, more thought-out process that involves data analysis, observations, research, and various other components. It is a process that allows researchers to come to a definite conclusion, most times, that's backed up by factual information.",1,1,1_individual_times_thought_importance,1.0
q1,74,I think that since we were chosen for a low-pressure study I think that this is a great way for us to see how science works and see the back end of an experiment when we typically only see the results. I think that once we are in the experiment it will be a variety of questions that are designed to pull specific responses but as the person taking the test we will not be aware of what they are and I think it will be interesting to see the results.,-1,-1,-1_class_actually_ones_learning,0.1800820605053678
q1,75,"I think that scientific investigations are much slower than most people may believe because it takes a lot of time to design an experiment or observational study, find a sample to test, record the results, and calculate what those results show. I think the researcher's perspective of scientific investigation is a more understanding perspective, that knows what the results of their studies actually conclude for a sample population. I think a lot of consumers of scientific results can easily misunderstand or use the results in a way that supports an untrue conclusion, this can either be from not understanding the results, or just wanting to support their already-held beliefs.",-1,-1,-1_class_actually_ones_learning,0.11971720546068565
q1,76,"I think a lot goes into planning a scientific investigation. First the research has to define the question that they want to answer. This question has to be able to be answered by scientific data. The researcher has to minimize the amount of uncontrollable variables in their study to make sure their data is as accurate as it could be. Then they have to find a willing group of participants. They may use simple random sampling or connivence  sampling to minimize bias. This is a lot different from how the general public consumes scientific results. The public often doesn't think of uncontrolled variables or the statistical significance of the data. When the public is consuming the scientific results, they do not think about the math behind the experiment. They do not take into account that something might have happened by random chance instead of being a significant event. They also don't think about how significant the event was and just take the findings at face value.",1,1,1_individual_times_thought_importance,1.0
